RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,False_order,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_Occurance_oriC_0,G_Occurance_oriC_1,G_Occurance_oriC_2,G_Occurance_oriC_3,G_Occurance_oriC_4,G_Occurance_oriC_5,G_Occurance_oriC_6,G_Occurance_oriC_7,G_Occurance_oriC_8,G_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9,Prediction_oriC_0,Prediction_oriC_1,Prediction_oriC_2,Prediction_oriC_3,Prediction_oriC_4,Prediction_oriC_5,Prediction_oriC_6,Prediction_oriC_7,Prediction_oriC_8,Prediction_oriC_9
NC_000919,Treponema pallidum subsp. pallidum str. Nichols,"Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema","(1399.0, 1640.0)",,,,1138011,False,0.5277207338066152,"(48.82733964920044, 0.27327942848205566, 53.19227457046509)",2611,947284.0,741232.0,,,,,,,,0.8276568293817762,0.2588136770235961,0.0864845847596379,,,,,,,,0.8181818181818182,0.0909090909090909,0.0909090909090909,,,,,,,,0.998122003296844,0.5188652734950309,0.0018779967031561,,,,,,,,0.6666666666666666,0.1666666666666666,0.1666666666666666,,,,,,,,True,False,False,,,,,,,
NC_004311,Brucella suis 1330 chromosome 1I,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella","(1207168.0, 154.0)",,,,1207381,False,0.5731637320779439,"(69.56670665740967, 0.5105900764465332, 80.67136716842651)",787986,1200212.0,,,,,,,,,0.3666666666666667,0.3,,,,,,,,,0.1,0.9,,,,,,,,,0.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,False,True,,,,,,,,
NZ_CP025399,"Streptococcus thermophilus strain GABA chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus","(1857240.0, 9.0)","(1375.0, 1528.0)",,,1857468,False,0.3911792827655712,"(73.6942069530487, 0.39313387870788574, 81.6549506187439)",710,316154.0,,,,,,,,,0.8733507549852132,0.1266682658235517,,,,,,,,,0.9,0.1,,,,,,,,,0.997830042733417,0.0022270196928773,,,,,,,,,0.7222222222222222,0.2777777777777778,,,,,,,,,True,False,,,,,,,,
NZ_CP011348,Mycoplasma bovis strain NM2012,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(990166.0, 990348.0)","(1402.0, 1534.0)",,,990348,True,0.2929354126024387,"(78.16696953773499, 0.37106943130493164, 85.58407425880432)",16924,623840.0,736776.0,210990.0,379402.0,486513.0,,,,,0.4588235294117647,0.3031441818326544,0.282657144057708,0.2642048601616123,0.1472735656185063,0.0640522875816993,,,,,0.1764705882352941,0.3235294117647059,0.088235294117647,0.2058823529411764,0.1470588235294117,0.0588235294117647,,,,,1.0,0.2525698003999241,0.4930694713888102,0.5867322275436605,0.2280952066594405,0.0,,,,,0.2,0.3333333333333333,0.2666666666666666,0.0,0.0666666666666666,0.1333333333333333,,,,,False,False,False,False,False,False,,,,
NC_010263,Rickettsia rickettsii str. Iowa,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(1267781.0, 1268175.0)",,,,1268201,False,0.3244682822360178,"(78.19844579696655, 0.44721484184265137, 86.19274520874023)",23855,462901.0,,,,,,,,,0.5521150092783816,0.3853919186213524,,,,,,,,,0.875,0.125,,,,,,,,,0.1449813914715086,0.6675393922276938,,,,,,,,,0.6363636363636364,0.3636363636363636,,,,,,,,,True,False,,,,,,,,
NC_017044,Rickettsia parkeri str. Portsmouth chromosome,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(2709.0, 3103.0)",,,,1300386,False,0.324336773850226,"(79.97181797027588, 0.46191978454589844, 88.53957867622375)",10913,249712.0,,,,,,,,,0.6928552269207483,0.3055555555555556,,,,,,,,,0.5833333333333334,0.4166666666666667,,,,,,,,,0.4952323474289118,0.5,,,,,,,,,1.0,0.0,,,,,,,,,True,False,,,,,,,,
NC_014921,Mycoplasma fermentans M64 chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1.0, 290.0)",,,,1118751,True,0.2685950671775935,"(82.15460753440857, 0.48536252975463867, 90.54775166511536)",1048340,185779.0,806937.0,699274.0,411879.0,592165.0,,,,,0.5875278847403026,0.4059474899694322,0.2561117046468854,0.1409277239672921,0.108756375839741,0.0740105767981588,,,,,0.5333333333333333,0.2333333333333333,0.0333333333333333,0.0666666666666666,0.0666666666666666,0.0666666666666666,,,,,0.998481090118344,0.7537399058057326,0.4708992165047588,0.2356036847223891,0.2596024608525564,0.0015189098816561,,,,,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.0,0.1538461538461538,0.1538461538461538,,,,,True,False,False,False,False,False,,,,
NC_018673,Leuconostoc carnosum JB16 chromosome,"Bacteria, Firmicutes, Bacilli, Lactobacillales, Leuconostoc","(1644598.0, 1645096.0)",,,,1645096,False,0.3724123090688932,"(83.3220727443695, 0.35044240951538086, 90.86037135124207)",1644548,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NZ_CP011487,Helicobacter pylori strain PNG84A,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1407818.0, 1408036.0)","(1406298.0, 1406449.0)",,,1531450,False,0.3877984916255836,"(90.89512920379639, 0.5197768211364746, 100.05845141410828)",961337,1413385.0,1146945.0,97284.0,1277888.0,502671.0,,,,,0.3800318075304937,0.354459852020837,0.2781491940199732,0.2584371551704142,0.2543396702104494,0.1875622935978782,,,,,0.25,0.3214285714285714,0.1071428571428571,0.2142857142857142,0.0357142857142857,0.0714285714285714,,,,,0.6110256551496207,0.6024161009130093,0.6110256551496206,0.6110256551496206,0.3517234256441329,0.3517234256441329,,,,,0.2790697674418604,0.1395348837209302,0.1395348837209302,0.1162790697674418,0.1162790697674418,0.2093023255813953,,,,,False,False,False,False,False,False,,,,
NC_018410,Mycoplasma gallisepticum WI01_2001.043-13-2P chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(939823.0, 1886.0)",,,,939844,True,0.3156172726537595,"(95.20645141601562, 0.3405642509460449, 102.85922455787659)",841421,939719.0,,,,,,,,,0.375,0.2916666666666667,,,,,,,,,0.625,0.375,,,,,,,,,0.0,0.0,,,,,,,,,0.5,0.5,,,,,,,,,False,False,,,,,,,,
NZ_CP007606,Helicobacter pylori strain BM013B,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1525661.0, 1525813.0)","(1524059.0, 1524286.0)",,,1604212,False,0.389640521327605,"(94.03576564788818, 0.5271379947662354, 103.60160541534424)",1538941,1008243.0,138713.0,703295.0,1332575.0,,,,,,0.425815875626887,0.3360631682276565,0.3264892763002877,0.1997707871381536,0.1824385276500582,,,,,,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0555555555555555,0.0555555555555555,,,,,,0.6511850006180349,0.6511850006180349,0.3415228380163031,0.3669891290912285,0.4008509364855283,,,,,,0.1818181818181818,0.3333333333333333,0.2727272727272727,0.1212121212121212,0.0909090909090909,,,,,,False,False,False,False,False,,,,,
NC_003361,Chlamydophila caviae GPIC,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydophila","(1173153.0, 56.0)",,,,1173390,False,0.3922293525596775,"(94.17394852638245, 0.44138216972351074, 103.71092891693115)",1171803,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_017486,Lactococcus lactis subsp. lactis CV56 chromosome,"Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus","(1726.0, 1881.0)",,,,2399458,False,0.3523974997686978,"(98.9909725189209, 0.4872150421142578, 110.02953553199768)",8930,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_017741,Helicobacter pylori Shi112 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1577971.0, 1578122.0)","(1576384.0, 1576602.0)",,,1663456,True,0.387726516361118,"(99.08487749099731, 0.7565853595733643, 112.33435106277466)",1078408,1401727.0,1571186.0,1265387.0,462988.0,,,,,,0.3807017543859649,0.3192982456140351,0.3105263157894737,0.247953216374269,0.1517484827154349,,,,,,0.3,0.3,0.3,0.0333333333333333,0.0666666666666666,,,,,,0.5,0.5,0.5,0.5,0.230684044637533,,,,,,0.3421052631578947,0.1578947368421052,0.1578947368421052,0.131578947368421,0.2105263157894736,,,,,,False,False,False,False,False,,,,,
NC_021846,Spiroplasma taiwanense CT-1,"Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(1074849.0, 1075140.0)",,,,1075140,True,0.2387344903919489,"(104.56248545646667, 0.5554113388061523, 114.27731370925903)",8,876468.0,,,,,,,,,0.915544312572699,0.0844556874273011,,,,,,,,,0.75,0.25,,,,,,,,,0.9966329377180968,0.0033670622819033,,,,,,,,,1.0,0.0,,,,,,,,,True,False,,,,,,,,
NC_010280,Chlamydia trachomatis L2b/UCH-1/proctitis,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia","(1038573.0, 1038869.0)",,,,1038863,False,0.413283560970022,"(106.90035843849182, 0.5532863140106201, 114.33672571182251)",63,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_012687,Chlamydia trachomatis TW5/OT,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia","(722514.0, 722810.0)",,,,1044282,False,0.4130254088455034,"(106.59287071228027, 0.4994950294494629, 115.2327835559845)",4,722534.0,,,,,,,,,0.5032212713678371,0.3844802926398616,,,,,,,,,0.1818181818181818,0.8181818181818182,,,,,,,,,0.6611789656186629,0.0019257264044334,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,False,True,,,,,,,,
NC_017587,Thermus thermophilus JL-18 chromosome,"Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus","(1365.0, 1671.0)",,,,1902595,True,0.6909195073044972,"(109.47182559967041, 0.6498715877532959, 121.59987139701843)",364,1681313.0,331170.0,1500102.0,505145.0,1320445.0,994172.0,,,,0.8330539419451792,0.2889301608597849,0.2497695946656303,0.2040567369168991,0.1675458117249503,0.1567893856823366,0.0187979099066726,,,,0.5,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.0555555555555555,,,,0.9991618258355376,0.7556793714682438,0.6381976728857799,0.5566146551951419,0.4470818796192953,0.3592570459358989,0.0008381741644623,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,False,False,False,False,False,False,,,
NC_022998,Spiroplasma apis B31,"Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(1333.0, 1466.0)",,,,1160554,False,0.283039824084015,"(114.8599922657013, 0.46367335319519043, 124.11359095573425)",4,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_018631,Leuconostoc gelidum JB7 chromosome,"Bacteria, Firmicutes, Bacilli, Lactobacillales, Leuconostoc","(1893009.0, 1893499.0)",,,,1893499,False,0.3667712525858213,"(116.78900051116943, 0.6714491844177246, 129.37729573249817)",1893402,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NZ_CP006820,Helicobacter pylori oki102,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1548932.0, 1549082.0)","(1547336.0, 1547563.0)",,,1633212,True,0.3880653583245775,"(118.95439434051514, 0.6602706909179688, 130.52676653862)",1541172,177823.0,868045.0,1240197.0,1375305.0,684876.0,,,,,0.3539106159202125,0.3096967548826903,0.2835916978736195,0.2824820444916411,0.2396249016344983,0.2049348501207855,,,,,0.3214285714285714,0.3214285714285714,0.1785714285714285,0.1071428571428571,0.0357142857142857,0.0357142857142857,,,,,0.5974461334749235,0.5974461334749235,0.5974461334749235,0.3505188360766422,0.3505188360766422,0.5293465221922873,,,,,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.2571428571428571,0.0857142857142857,0.2285714285714285,,,,,False,False,False,False,False,False,,,,
NC_021834,Campylobacter jejuni 32488,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter","(839888.0, 840046.0)",,,,1702398,True,0.3049169465659617,"(124.33210897445679, 0.6430809497833252, 135.82020783424377)",829029,663634.0,13133.0,,,,,,,,0.6400747478975811,0.4773766750924419,0.1481458034808648,,,,,,,,0.5,0.2142857142857142,0.2857142857142857,,,,,,,,0.9991716121137962,0.7967916794126644,0.0008283878862036,,,,,,,,0.4210526315789473,0.4210526315789473,0.1578947368421052,,,,,,,,True,False,False,,,,,,,
NC_008817,Prochlorococcus marinus str. MIT 9515,"Bacteria, Cyanobacteria, Prochlorales, Prochlorococcaceae, Prochlorococcus","(1704005.0, 170.0)",,,,1704176,True,0.3079417853555032,"(124.50042843818665, 0.6934022903442383, 136.68584489822388)",1665828,341591.0,465915.0,853196.0,1111841.0,735262.0,,,,,0.4382707758774662,0.32335517418064,0.2916091424346083,0.2669389037572914,0.2262643005826882,0.2000873958137516,,,,,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.0476190476190476,0.0476190476190476,0.3333333333333333,,,,,0.654098041918113,0.7022083796847773,0.7022083796847773,0.3454595684147313,0.3454595684147313,0.4901431398222073,,,,,0.375,0.125,0.125,0.3125,0.0,0.0625,,,,,False,False,False,False,False,False,,,,
NZ_CP023507,"Streptococcus oralis strain FDAARGOS_367 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus","(1867268.0, 1867425.0)","(1865689.0, 1865905.0)",,,2053209,True,0.4093981664798858,"(124.12560987472534, 0.6861190795898438, 137.67749762535095)",1866950,913.0,,,,,,,,,0.7327278264261023,0.2679204221451685,,,,,,,,,0.5,0.5,,,,,,,,,0.998183479278307,0.0037612664355055,,,,,,,,,0.7,0.3,,,,,,,,,True,False,,,,,,,,
NC_013799,Hydrogenobacter thermophilus TK-6,"Bacteria, Aquificae, Aquificales, Aquificaceae, Hydrogenobacter","(1743034.0, 99.0)",,,,1743135,True,0.4400026389235487,"(75.32223796844482, 0.4913926124572754, 82.70561671257019)",495368,274067.0,846393.0,663021.0,1123338.0,1735941.0,1475917.0,,,,0.4588235294117647,0.3490188107606648,0.3475707754596819,0.3396525678204692,0.2306003850165465,0.1826132721688241,0.0565359477124183,,,,0.1764705882352941,0.1372549019607843,0.1372549019607843,0.0980392156862745,0.2745098039215686,0.1568627450980392,0.0196078431372549,,,,1.0,0.7098015303212101,0.6554574244182616,0.8959184877751333,0.2922913511280709,0.3409770714084331,0.0,,,,0.2,0.2,0.25,0.025,0.125,0.05,0.15,,,,False,False,False,False,False,False,False,,,
NC_018529,Burkholderia pseudomallei BPC006 chromosome 1I,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, pseudomallei group","(3146508.0, 3146950.0)",,,,3153284,False,0.6850505695015102,"(123.40187883377075, 0.6863441467285156, 140.82710075378418)",3153225,547105.0,,,,,,,,,0.4666666666666666,0.1999999999999999,,,,,,,,,0.9,0.1,,,,,,,,,0.0,0.0,,,,,,,,,0.5,0.5,,,,,,,,,True,False,,,,,,,,
NC_013416,Aggregatibacter actinomycetemcomitans D11S-1,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Aggregatibacter","(287100.0, 287541.0)",,,,2105791,True,0.4455313941412039,"(127.17864918708801, 0.7418363094329834, 140.96064519882202)",76474,437963.0,1221411.0,682519.0,1034206.0,,,,,,0.49757580641443,0.3244559830775862,0.2012568952257374,0.1485551459665222,0.0976092175998686,,,,,,0.4,0.2571428571428571,0.2571428571428571,0.0285714285714285,0.0571428571428571,,,,,,0.9989774192432902,0.4037250920899015,0.3564492571057835,0.0010225807567096,0.0481847956567487,,,,,,0.09375,0.3125,0.21875,0.1875,0.1875,,,,,,False,False,False,False,False,,,,,
NC_013016,Neisseria meningitidis,"Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria","(26352.0, 26524.0)",,,,2145295,False,0.5194716810508578,"(131.5873200893402, 0.7032818794250488, 146.53265595436096)",381,1930192.0,,,,,,,,,0.9487990312390098,0.0512009687609903,,,,,,,,,0.9,0.1,,,,,,,,,0.996397093717029,0.0036029062829709,,,,,,,,,0.95,0.05,,,,,,,,,True,False,,,,,,,,
NC_018415,Candidatus Carsonella ruddii CS isolate Thao2000 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Candidatus Carsonella","(149485.0, 149804.0)",,,,162504,True,0.1418488160291439,"(6.155813694000244, 0.08639025688171387, 7.078952789306641)",77460,45193.0,153818.0,61192.0,14770.0,,,,,,0.1111111111111111,0.0793650793650793,0.0634920634920634,0.0476190476190476,0.0317460317460317,,,,,,0.3333333333333333,0.238095238095238,0.1904761904761904,0.1428571428571428,0.0952380952380952,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,False,False,,,,,
NZ_CP021529,"Pediococcus acidilactici strain SRCM101189 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Pediococcus, Pediococcus acidilactici group","(2025215.0, 2025732.0)","(1342.0, 1516.0)",,,2025732,False,0.4223781823064452,"(146.3997836112976, 0.8168144226074219, 162.79984617233276)",10451,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
