RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9,Prediction_oriC_0,Prediction_oriC_1,Prediction_oriC_2,Prediction_oriC_3,Prediction_oriC_4,Prediction_oriC_5,Prediction_oriC_6,Prediction_oriC_7,Prediction_oriC_8,Prediction_oriC_9
NC_021891,Chlamydia trachomatis RC-J(s)/122,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(723622.0, 723918.0)",,,,1061854,0.4148960214869464,80.35704684257507,723643,9.0,817614.0,,,,,,,,0.4861111111111111,0.3055555555555555,0.2083333333333333,,,,,,,,0.75,0.1666666666666666,0.0833333333333333,,,,,,,,0.2222222222222222,0.4444444444444444,0.3333333333333333,,,,,,,,0.910009534007659,-1.0714118746139691,-1.0113646332650683,,,,,,,
NC_007494,Rhodobacter sphaeroides 2.4.1 chromosome 2,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodobacter","(942522.0, 503.0)",,,,943018,0.6901374098903732,92.33113932609558,941935,107308.0,838115.0,581927.0,678583.0,,,,,,0.1470588235294117,0.1323529411764706,0.1029411764705882,0.1029411764705882,0.0147058823529411,,,,,,0.2941176470588235,0.2647058823529412,0.2058823529411764,0.2058823529411764,0.0294117647058823,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,-1.0022115556454,-1.0105962939408544,-1.0270889729333676,-1.0270889729333676,-1.0205681869670906,,,,,
NC_017953,Chlamydia trachomatis F/SW5,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720760.0, 721056.0)",,,,1042743,0.4131056262185409,97.59289717674255,720781,4.0,,,,,,,,,0.6590909090909092,0.3409090909090909,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.5,0.5,,,,,,,,,1.1384022314929636,-1.0151586208253294,,,,,,,,
NC_017177,Clostridium difficile BI1,"Bacteria, Firmicutes, Clostridia, Clostridiales, Peptostreptococcaceae","(267626.0, 267993.0)",,,,300869,0.2499891979565857,25.495836973190308,25788,259305.0,,,,,,,,,0.6875,0.3125,,,,,,,,,0.375,0.625,,,,,,,,,1.0,0.0,,,,,,,,,0.2612320004696515,-0.4535182721181998,,,,,,,,
NC_014448,Mycoplasma hyorhinis HUB-1 chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(839116.0, 839615.0)",,,,839615,0.2588352995122764,97.1623511314392,292241,818171.0,450818.0,599556.0,,,,,,,0.4470588235294117,0.2470588235294117,0.1843137254901961,0.1215686274509804,,,,,,,0.6,0.2,0.1333333333333333,0.0666666666666666,,,,,,,0.2941176470588235,0.2941176470588235,0.2352941176470588,0.1764705882352941,,,,,,,-0.1474070012809223,-1.0657136546812795,-1.0075748651909082,-1.0021806645321378,,,,,,
NC_021897,Chlamydia trachomatis RC-L2(s)/3,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(723589.0, 723885.0)",,,,1046171,0.4131370492969122,98.70435738563538,723610,9.0,,,,,,,,,0.6233766233766234,0.3766233766233766,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.4285714285714285,0.5714285714285714,,,,,,,,,1.2287358408796107,-1.023962489126828,,,,,,,,
NC_023004,Candidatus Saccharibacteria bacterium RAAC3_TM7_1,"Bacteria, Candidatus Saccharibacteria","(278100.0, 278519.0)",,,,845464,0.4940080239962908,101.49483275413512,286023,5121.0,129718.0,,,,,,,,0.45,0.4071428571428571,0.1428571428571428,,,,,,,,0.5,0.2142857142857142,0.2857142857142857,,,,,,,,0.4,0.6,0.0,,,,,,,,-0.1796108507073741,-0.6814878638907915,-1.0042651710308634,,,,,,,
NC_016638,Mycoplasma haemocanis str. Illinois chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1264.0, 1587.0)",,,,919992,0.3533356811798363,104.0154333114624,918170,759368.0,186781.0,,,,,,,,0.4642857142857143,0.2857142857142857,0.25,,,,,,,,0.6428571428571429,0.1428571428571428,0.2142857142857142,,,,,,,,0.2857142857142857,0.2857142857142857,0.4285714285714285,,,,,,,,0.2399547779502056,-1.0297147559382838,-0.9576330425135896,,,,,,,
NC_013532,Anaplasma centrale str. Israel,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Anaplasma","(95115.0, 95499.0)",,,,1206806,0.4998491886848424,105.8770854473114,76842,403472.0,1143021.0,272100.0,795186.0,,,,,,0.4147058823529411,0.1838235294117647,0.1544117647058823,0.138235294117647,0.1088235294117647,,,,,,0.5294117647058824,0.1176470588235294,0.1176470588235294,0.0588235294117647,0.1764705882352941,,,,,,0.3,0.25,0.25,0.1,0.1,,,,,,-0.6931696859219558,-1.0058868691348453,-1.0058868691348453,-1.0128394313113462,-1.0520664567344342,,,,,
NC_006841,Vibrio fischeri ES114 chromosome 1I,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(1332015.0, 1052.0)",,,,1330333,0.3702276046674028,109.19147872924805,1330171,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.9998671168788508,,,,,,,,,
NC_016931,Rickettsia massiliae str. AZT80 chromosome,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(1263331.0, 1263719.0)",,,,1263719,0.3260511237070899,133.4574797153473,1220368,245232.0,482920.0,119127.0,892462.0,,,,,,0.3714285714285714,0.25,0.1714285714285714,0.1714285714285714,0.0357142857142857,,,,,,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.5,0.0714285714285714,,,,,,0.6,0.0,0.0,0.2,0.2,,,,,,-1.3089424823060662,-1.021456337166673,-1.021456337166673,-1.003960851507114,-1.0003426620937337,,,,,
NC_019439,Anabaena sp. 90 chromosome chANA02,"Bacteria, Cyanobacteria, Nostocales, Nostocaceae, Anabaena","(624285.0, 625475.0)",,,,819965,0.382121188099492,69.2661485671997,84267,2174.0,487196.0,148130.0,326673.0,738452.0,623614.0,233587.0,,,0.2232905982905983,0.2019230769230769,0.1217948717948717,0.1185897435897435,0.1079059829059829,0.1079059829059829,0.0908119658119658,0.0277777777777777,,,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.25,0.1666666666666666,0.0833333333333333,0.0277777777777777,0.0555555555555555,,,0.3076923076923077,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,,,-1.0371393459477902,-1.0182435069749871,-1.0182435069749871,-0.9983106020731584,-1.0704025783577764,-1.035799818996069,-1.0024987222597952,-1.0021319668765232,,
NC_022660,Campylobacter coli 15-537360,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter","(1324.0, 1487.0)",,,,1658752,0.3144629215217223,133.29967427253723,3286,222808.0,1508826.0,,,,,,,,0.6313131313131313,0.2676767676767677,0.101010101010101,,,,,,,,0.8181818181818182,0.0909090909090909,0.0909090909090909,,,,,,,,0.4444444444444444,0.4444444444444444,0.1111111111111111,,,,,,,,1.210572757479386,-1.0927983356558792,-1.0278526469215956,,,,,,,
NZ_CP010435,Helicobacter pylori 26695-1,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1608769.0, 1608920.0)","(1607167.0, 1607394.0)",,,1667638,0.3887498365952323,148.8912160396576,603982,1645496.0,143452.0,1185732.0,1019732.0,,,,,,0.3221153846153846,0.2852564102564102,0.2163461538461538,0.0977564102564102,0.078525641025641,,,,,,0.375,0.4166666666666667,0.125,0.0416666666666666,0.0416666666666666,,,,,,0.2692307692307692,0.1538461538461538,0.1538461538461538,0.3076923076923077,0.1153846153846153,,,,,,-1.1606331681706026,-1.0661623561724811,-1.0168417559642051,-1.0099031227448316,-1.0033725594829344,,,,,
NC_017430,Chlamydia trachomatis G/11222 chromosome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(719799.0, 720095.0)",,,,1042354,0.4131149302444275,90.93616700172424,719820,9.0,,,,,,,,,0.5757575757575758,0.4242424242424242,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,,,1.2663988644638977,-0.9989859898719766,,,,,,,,
NC_020511,Chlamydia trachomatis IU824 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(721030.0, 721329.0)",,,,1043022,0.4130018350523766,94.72506260871889,721054,4.0,,,,,,,,,0.6590909090909092,0.3409090909090909,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.5,0.5,,,,,,,,,1.1384022314929636,-1.0151586208253294,,,,,,,,
NC_011025,Mycoplasma arthritidis 158L3-1,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(820215.0, 106.0)",,,,820453,0.3070949828935966,77.83288717269897,816159,362659.0,176805.0,141334.0,224876.0,482107.0,712246.0,262377.0,104046.0,613893.0,0.1691919191919191,0.1628787878787878,0.1224747474747474,0.1174242424242424,0.1123737373737373,0.1073232323232323,0.0795454545454545,0.0669191919191919,0.0391414141414141,0.0227272727272727,0.2272727272727272,0.0681818181818181,0.1136363636363636,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.0454545454545454,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1666666666666666,0.1666666666666666,0.2222222222222222,0.0555555555555555,0.0555555555555555,0.0,0.0,-1.0209592631150215,-1.015294609888877,-1.0386765043536146,-1.0128725513877628,-1.0128725513877628,-1.0118180679374946,-1.0066555827473609,-1.0066555827473609,-1.0291542550934674,-1.0067215682995228
NC_015596,Sinorhizobium meliloti AK83 chromosome chromosome 2,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Sinorhizobium","(443941.0, 444400.0)",,,,1680879,0.6237236588713405,158.8480339050293,1525820,1152081.0,1674902.0,442842.0,1028978.0,607578.0,,,,,0.2717391304347826,0.2717391304347826,0.1956521739130435,0.1739130434782608,0.0652173913043478,0.0217391304347826,,,,,0.391304347826087,0.3478260869565217,0.1304347826086956,0.0434782608695652,0.0434782608695652,0.0434782608695652,,,,,0.5,0.5,0.0,0.0,0.0,0.0,,,,,0.5556223330257408,0.2758554171359604,-1.0171802356454664,-1.0079633326035848,-1.0079633326035848,-1.0079633326035848,,,,
NC_023151,Thermotoga maritima MSB8,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(788099.0, 788661.0)",,,,1869644,0.4624896504361258,173.11673974990845,1303201,803159.0,1826827.0,1116957.0,383794.0,948449.0,1546594.0,,,,0.2596153846153846,0.1971153846153846,0.1826923076923077,0.1201923076923077,0.1009615384615384,0.0817307692307692,0.0576923076923076,,,,0.2692307692307692,0.2692307692307692,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.0384615384615384,,,,0.25,0.25,0.125,0.125,0.125,0.125,0.0,,,,-1.0792803696192663,-1.0792803696192663,-1.0308857235133049,-1.0308857235133049,-1.0308857235133049,-1.0152558267029803,-1.0116729355538796,,,
NC_008054,Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842,"Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus","(1864846.0, 322.0)",,,,1864998,0.4971903455124348,169.54842138290405,8,181919.0,1696639.0,,,,,,,,0.8090909090909091,0.1454545454545454,0.0454545454545454,,,,,,,,0.8181818181818182,0.0909090909090909,0.0909090909090909,,,,,,,,0.8,0.2,0.0,,,,,,,,1.1037130854690629,-0.9995032904857242,-1.0029566973442856,,,,,,,
NC_020943,Chlamydia trachomatis D/SotonD5 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720202.0, 720498.0)",,,,1042140,0.4129972940295929,93.47324442863464,720223,4.0,,,,,,,,,0.5757575757575758,0.4242424242424242,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,,,1.2663988644638977,-0.9989859898719766,,,,,,,,
NC_017951,Chlamydia trachomatis F/SW4,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720762.0, 721058.0)",,,,1042736,0.4131045633794172,99.79013442993164,720783,4.0,,,,,,,,,0.6590909090909092,0.3409090909090909,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.5,0.5,,,,,,,,,1.1384022314929636,-1.0151586208253294,,,,,,,,
NC_020964,Chlamydia trachomatis F/SotonF3 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720804.0, 721100.0)",,,,1042789,0.4130212344012067,94.2716600894928,720824,4.0,,,,,,,,,0.6590909090909092,0.3409090909090909,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.5,0.5,,,,,,,,,1.1384022314929636,-1.0151586208253294,,,,,,,,
NZ_LN515399,"Mycoplasma capricolum subsp. capripneumoniae strain ILRI181 genome assembly, chromosome: 1.","Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1016889.0, 1017183.0)",,,,1017183,0.236664395688878,91.04070687294006,897009,431476.0,5502.0,89915.0,637908.0,270306.0,,,,,0.2447916666666666,0.1961805555555555,0.1961805555555555,0.1822916666666666,0.1024305555555555,0.078125,,,,,0.15625,0.15625,0.28125,0.28125,0.03125,0.09375,,,,,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,,,,,-1.0583126624770332,-1.0583126624770332,-0.9957477099896694,-0.9957477099896694,-1.001403310764947,-1.0037637019228365,,,,
NZ_CP017125,"Mycoplasma capricolum subsp. capripneumoniae M1601 chromosome, complete genome.","Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1016413.0, 1016707.0)",,,,1016707,0.2367220841402685,91.06749820709229,896713,431500.0,5499.0,89912.0,637079.0,270321.0,,,,,0.2447916666666666,0.1961805555555555,0.1961805555555555,0.1822916666666666,0.1024305555555555,0.078125,,,,,0.15625,0.15625,0.28125,0.28125,0.03125,0.09375,,,,,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,,,,,-1.0583126624770332,-1.0583126624770332,-0.9957477099896694,-0.9957477099896694,-1.001403310764947,-1.0037637019228365,,,,
NC_007509,Burkholderia sp. 383 chromosome 3,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, Burkholderia cepacia complex","(1392996.0, 536.0)",,,,1395069,0.6527483586833339,125.16120743751526,5308,775876.0,,,,,,,,,0.4230769230769231,0.0769230769230769,,,,,,,,,0.8461538461538461,0.1538461538461538,,,,,,,,,0.0,0.0,,,,,,,,,1.0011510388358458,-1.024567893125398,,,,,,,,
NZ_CP017658,"Spiroplasma sp. TU-14, complete genome.","Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(1199215.0, 1199640.0)",,,,1199640,0.2874237271181354,96.1029314994812,18,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.9998671168788508,,,,,,,,,
NC_022439,Chlamydia pecorum PV3056/3,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(1104407.0, 147.0)",,,,1104552,0.4112581390464188,97.81841230392456,1104396,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.9998671168788508,,,,,,,,,
NC_022109,Chlamydia trachomatis strain D/14-96 genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(719050.0, 719346.0)",,,,1041595,0.4129599316432971,86.2572557926178,719071,9.0,,,,,,,,,0.5757575757575758,0.4242424242424242,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,,,1.2663988644638977,-0.9989859898719766,,,,,,,,
NC_020939,Chlamydia trachomatis A/5291 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(722255.0, 722551.0)",,,,1044023,0.4130043112077032,103.01196599006651,722277,4.0,,,,,,,,,0.5757575757575758,0.4242424242424242,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,,,1.2663988644638977,-0.9989859898719766,,,,,,,,
NC_015662,Buchnera aphidicola (Cinara tujafilina) chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Buchnera","(444359.0, 444925.0)",,,,444925,0.2303197168062033,34.20947790145874,435421,248633.0,,,,,,,,,0.7083333333333333,0.2916666666666666,,,,,,,,,0.75,0.25,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,1.0304696906265916,-1.0723160749619298,,,,,,,,
NZ_CP015412,"Pseudoalteromonas luteoviolacea strain S4054249 chromosome 2, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas","(629808.0, 630515.0)",,,,1321096,0.4093472389591672,118.89541888237,653891,4020.0,,,,,,,,,0.5353535353535354,0.4646464646464646,,,,,,,,,0.1818181818181818,0.8181818181818182,,,,,,,,,0.8888888888888888,0.1111111111111111,,,,,,,,,0.0778774067836716,0.748340829878603,,,,,,,,
NZ_CP025257,"Mesoplasma syrphidae strain YJS chromosome, complete genome.","Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Entomoplasmataceae, Mesoplasma","(907910.0, 908214.0)",,,,908214,0.3005260874639677,78.4610230922699,24536,228701.0,832372.0,311448.0,672859.0,,,,,,0.35,0.225,0.175,0.125,0.125,,,,,,0.7,0.05,0.05,0.05,0.15,,,,,,0.0,0.4,0.2,0.2,0.2,,,,,,0.1487958702465759,-0.9962728876847756,-1.00699346936429,-1.00699346936429,-1.0070485499345354,,,,,
NC_020968,Chlamydia trachomatis D/SotonD6 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720607.0, 720903.0)",,,,1042560,0.4130361801718846,85.39139008522034,720628,4.0,,,,,,,,,0.5757575757575758,0.4242424242424242,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,,,1.2663988644638977,-0.9989859898719766,,,,,,,,
NZ_CP008751,Brucella melitensis strain 20236 chromosome 2,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales,Brucellaceae, Brucella","(1185333.0, 1185699.0)",,,,1185741,0.5734228638463206,92.11728763580322,1038235,638107.0,1177469.0,,,,,,,,0.4313725490196078,0.3627450980392157,0.2058823529411764,,,,,,,,0.5294117647058824,0.0588235294117647,0.4117647058823529,,,,,,,,0.3333333333333333,0.6666666666666666,0.0,,,,,,,,-0.5347464898345864,-1.233356676093707,-1.019435785584048,,,,,,,
