RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_A_Occurance_oriC_0,G_A_Occurance_oriC_1,G_A_Occurance_oriC_2,G_A_Occurance_oriC_3,G_A_Occurance_oriC_4,G_A_Occurance_oriC_5,G_A_Occurance_oriC_6,G_A_Occurance_oriC_7,G_A_Occurance_oriC_8,G_A_Occurance_oriC_9,G_N_Occurance_oriC_0,G_N_Occurance_oriC_1,G_N_Occurance_oriC_2,G_N_Occurance_oriC_3,G_N_Occurance_oriC_4,G_N_Occurance_oriC_5,G_N_Occurance_oriC_6,G_N_Occurance_oriC_7,G_N_Occurance_oriC_8,G_N_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9,Prediction_oriC_0,Prediction_oriC_1,Prediction_oriC_2,Prediction_oriC_3,Prediction_oriC_4,Prediction_oriC_5,Prediction_oriC_6,Prediction_oriC_7,Prediction_oriC_8,Prediction_oriC_9
NC_020512,Chlamydia trachomatis IU888 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(721030.0, 721329.0)",,,,1043022,0.4130018350523766,"(69.61926007270813, 0.28896236419677734, 79.35187077522278)",721054,4.0,,,,,,,,,0.8295454545454546,0.1704545454545454,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,1.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,0.5,0.5,,,,,,,,,1.68093359075673,-0.6769513104804246,,,,,,,,
NC_017062,Rickettsia typhi str. B9991CWPP chromosome,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group","(1112575.0, 1112957.0)",,,,1112957,0.2892016493000179,"(69.81383633613586, 0.29819416999816895, 81.01239919662476)",1108812,129489.0,236053.0,617309.0,825885.0,,,,,,0.5665771441504368,0.5487530638477177,0.4013685959069515,0.1609674837831896,0.1452532885788679,,,,,,0.4090909090909091,0.4090909090909091,0.0909090909090909,0.0454545454545454,0.0454545454545454,,,,,,1.0,0.6835673236074836,0.4312319593853818,0.0,0.4938919421942597,,,,,,0.6072176675108383,0.8940206893591449,1.0,0.1817487230115465,0.0,,,,,,0.25,0.2083333333333333,0.0833333333333333,0.4166666666666667,0.0416666666666666,,,,,,-0.4958886500217316,-1.1089249764497622,-1.265098610416038,-1.1344721187350528,-1.0595148707212074,,,,,
NC_020945,Chlamydia trachomatis L2b/8200/07 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716890.0, 717186.0)",,,,1038864,0.4132841257373438,"(71.69647812843323, 0.32697153091430664, 81.85181403160095)",716910,4.0,,,,,,,,,0.8116883116883117,0.1883116883116883,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,1.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,0.4285714285714285,0.5714285714285714,,,,,,,,,1.4876255144342012,-0.2953278011704496,,,,,,,,
NC_021050,Chlamydia trachomatis L2/434/Bu(i),"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(1038546.0, 1038842.0)",,,,1038842,0.4132909528109183,"(71.95299553871155, 0.3104684352874756, 82.40779948234558)",62,444510.0,,,,,,,,,0.9125,0.0875,,,,,,,,,0.9,0.1,,,,,,,,,1.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,0.75,0.25,,,,,,,,,2.005236307998661,-1.0750349340179837,,,,,,,,
NC_012026,Anaplasma marginale str. Florida,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Anaplasma","(1152391.0, 1152771.0)",,,,1202435,0.4977449924528145,"(73.00759506225586, 0.307178258895874, 82.99689865112305)",1098892,1201855.0,982671.0,434354.0,,,,,,,0.5128833629682795,0.39684919125172,0.3291666666666666,0.3166666666666667,,,,,,,0.3,0.45,0.15,0.1,,,,,,,0.8136132930403398,0.625833231506592,1.0,0.0,,,,,,,0.2712534921661115,0.5115635335002883,0.0,1.0,,,,,,,0.6666666666666666,0.0,0.1666666666666666,0.1666666666666666,,,,,,,-0.107217189812266,-0.9999238745038126,-0.9976505397122308,-0.9977483233110348,,,,,,
NC_004552,Chlamydophila abortus S26/3,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydophila","(1144232.0, 147.0)",,,,1144377,0.3986640766111168,"(74.58540964126587, 0.415759801864624, 85.14566135406494)",1144242,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.9999993390080022,,,,,,,,,
NC_009050,Rhodobacter sphaeroides ATCC 17029 chromosome 2,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodobacter","(575400.0, 576398.0)",,,,1219053,0.6862827128927126,"(74.61090755462646, 0.3361198902130127, 86.96497774124146)",357536,917903.0,527889.0,216745.0,1059890.0,794269.0,630357.0,,,,0.0642857142857142,0.0642857142857142,0.0357142857142857,0.0357142857142857,0.0285714285714285,0.0142857142857142,0.0071428571428571,,,,0.2571428571428571,0.2571428571428571,0.1428571428571428,0.1428571428571428,0.1142857142857142,0.0571428571428571,0.0285714285714285,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.9707069143047902,-0.9707069143047902,-0.9995003294287612,-0.9995003294287612,-0.994593183466739,-1.0388869922426152,-1.1111682809754966,,,
NC_007354,Ehrlichia canis str. Jake,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Ehrlichia","(11395.0, 11819.0)",,,,1315030,0.2895774240891843,"(81.80716466903687, 0.31650304794311523, 93.77219271659851)",11715,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.9999993390080022,,,,,,,,,
NC_022234,Variovorax paradoxus B4 chromosome 2,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Variovorax","(1157830.0, 1158357.0)",,,,1353255,0.6692663245286365,"(81.81639528274536, 0.4964420795440674, 96.86943864822388)",1060955,25.0,744350.0,1198738.0,194269.0,,,,,,0.2741935483870967,0.0725806451612903,0.0564516129032258,0.0564516129032258,0.0403225806451612,,,,,,0.0967741935483871,0.2903225806451613,0.2258064516129032,0.2258064516129032,0.1612903225806451,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,-0.9713849792289776,-0.9050516660838552,-1.0026585498928198,-1.0026585498928198,-1.0052809704831047,,,,,
NC_014004,Candidatus Sulcia muelleri DMIN chromosome,"Bacteria, Bacteroidetes, Flavobacteria, Flavobacteriales, Candidatus Sulcia","(26847.0, 27135.0)",,,,243933,0.2249306161937909,"(12.391560316085815, 0.17988872528076172, 14.171208381652832)",50072,196966.0,92706.0,165647.0,119334.0,940.0,,,,,0.3310810810810811,0.081081081081081,0.0472972972972973,0.0202702702702702,0.0135135135135135,0.0067567567567567,,,,,0.3243243243243243,0.3243243243243243,0.1891891891891892,0.081081081081081,0.054054054054054,0.027027027027027,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.4023616549377122,-0.7999594271535584,-1.0112958056583834,-1.007572113762299,-1.0446892766658975,-1.1163707675028065,,,,
NZ_CP009343,"Francisella philomiragia strain O#319-029, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Francisellaceae, Francisella","(1059817.0, 1060298.0)",,,,2040998,0.3257377028296941,"(91.34228181838989, 0.510329008102417, 106.97632265090942)",1071040,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.9999993390080022,,,,,,,,,
NC_018673,Leuconostoc carnosum JB16 chromosome,"Bacteria, Firmicutes, Bacilli, Lactobacillales, Leuconostoc","(1644598.0, 1645096.0)",,,,1645096,0.3724123090688932,"(92.11291575431824, 0.4378328323364258, 107.35258388519287)",1644548,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.9999993390080022,,,,,,,,,
NC_007797,Anaplasma phagocytophilum HZ,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Anaplasma, phagocytophilum group","(20557.0, 20941.0)",,,,1471282,0.4163593383185548,"(93.7718415260315, 0.435976505279541, 107.8404176235199)",114,1314648.0,151947.0,575866.0,,,,,,,0.5598654115152296,0.3733333333333333,0.3328401841951439,0.3077777777777778,,,,,,,0.5,0.3333333333333333,0.0555555555555555,0.1111111111111111,,,,,,,0.7324035994325311,1.0,0.4731963145252569,0.0,,,,,,,0.3670580466283873,0.0,0.722608866699763,1.0,,,,,,,0.64,0.16,0.08,0.12,,,,,,,1.2581161411029116,-1.0848814522415096,-1.0255741180480042,-0.9999261046928664,,,,,,
NC_015707,Thermotoga thermarum DSM 5069 chromosome,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(2026649.0, 2028223.0)",,,,2039943,0.4032406787836719,"(93.66096425056458, 0.4840559959411621, 108.41271543502808)",1588772,13696.0,259594.0,1035470.0,473675.0,794281.0,,,,,0.4521277091355312,0.3578431372549019,0.3514624294616555,0.3450912687467807,0.2780149554803837,0.2352809192698619,,,,,0.3235294117647059,0.2647058823529412,0.2647058823529412,0.088235294117647,0.0294117647058823,0.0294117647058823,,,,,0.4423550612167561,0.0,0.2478280851269688,1.0,0.4635894345160107,0.7867119123735653,,,,,0.8759596968939962,1.0,0.6849824170333788,0.1671297808694761,0.4107252893663086,0.0,,,,,0.1666666666666666,0.1666666666666666,0.2083333333333333,0.2083333333333333,0.125,0.125,,,,,-1.2144996047701595,-1.1512722157959898,-1.383080351469536,-1.1279481769691613,-1.01435022136109,-1.019938284831332,,,,
NZ_CP006824,Helicobacter pylori oki422,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1550414.0, 1550564.0)","(1548818.0, 1549045.0)",,,1634852,0.3882871354715901,"(95.64316725730896, 0.46752309799194336, 109.9678521156311)",178956,685291.0,1542587.0,868077.0,1241275.0,1376629.0,,,,,0.4787990742662641,0.3680970006926007,0.3229059322362421,0.3012845723022547,0.2658581230222989,0.2384855913600108,,,,,0.3214285714285714,0.3214285714285714,0.0357142857142857,0.0357142857142857,0.1785714285714285,0.1071428571428571,,,,,1.0,0.2652451456275458,0.8273380146592543,0.0,0.3900969495923067,0.5865123831663815,,,,,0.3366248684936281,1.0,0.0,0.8837097177804476,0.3947641139254603,0.2174299822736616,,,,,0.2571428571428571,0.1428571428571428,0.1428571428571428,0.1714285714285714,0.1714285714285714,0.1142857142857142,,,,,-1.1453520417266871,-1.3542267027098431,-1.0075272960637476,-1.0829302032650416,-1.2155268318596113,-1.0434776653708495,,,,
NC_018937,Helicobacter pylori Rif1 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1609013.0, 1609164.0)","(1607487.0, 1607638.0)",,,1667883,0.3887269071031961,"(98.12208580970764, 0.5612013339996338, 112.50726056098938)",1185874,1019842.0,604115.0,1645764.0,143503.0,,,,,,0.4525797826560581,0.437897304289965,0.4110576923076923,0.3455640428204454,0.3060543640823711,,,,,,0.0416666666666666,0.0416666666666666,0.375,0.4166666666666667,0.125,,,,,,1.0,0.714603469821696,0.0,0.811743350768961,0.5270532987027274,,,,,,0.6148063101114122,0.879934465286882,1.0,0.0,0.2644718499344493,,,,,,0.1153846153846153,0.2692307692307692,0.1538461538461538,0.1538461538461538,0.3076923076923077,,,,,,-1.0956271521765883,-1.1075509945641555,-1.02635514966895,-0.9063012918364192,-1.0539072434345853,,,,,
NZ_CP007605,Helicobacter pylori strain BM012B,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1579500.0, 1579650.0)","(1577904.0, 1578131.0)",,,1659060,0.3887623111882632,"(98.76453113555908, 0.47162723541259766, 112.90832924842834)",1631271,455389.0,1391313.0,1059043.0,1226311.0,,,,,,0.4068100358422939,0.3686437891832766,0.3640159102955256,0.2995890789904214,0.2850043013888947,,,,,,0.5161290322580645,0.0967741935483871,0.2903225806451613,0.064516129032258,0.032258064516129,,,,,,1.0,0.1555787409624973,0.5806895852666643,0.0,0.2923248729899912,,,,,,0.0,1.0,0.2794959197147215,0.9671735202627608,0.6209898236050143,,,,,,0.1111111111111111,0.2222222222222222,0.3055555555555556,0.1666666666666666,0.1944444444444444,,,,,,-1.1896266959298656,-1.1030228094955048,-0.8825233181259107,-1.0082340346487852,-1.1351318049917352,,,,,
NZ_CP011484,Helicobacter pylori strain CC33C,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1457521.0, 1457748.0)","(1455995.0, 1456146.0)",,,1659899,0.3894441770252286,"(105.34525442123413, 0.6024551391601562, 120.89314007759094)",1097182,626922.0,1463354.0,177163.0,1654585.0,815104.0,,,,,0.4042459553024302,0.3483870967741935,0.3241935483870967,0.320802182199527,0.3125869296456876,0.2966862184881589,,,,,0.1555555555555555,0.2,0.2,0.2,0.1777777777777777,0.0666666666666666,,,,,0.7099743040814539,0.0,1.0,0.4357964375975675,0.7112892949776708,0.2841074820113473,,,,,0.428873316411421,1.0,0.0,0.4538639041037661,0.2322483877627855,0.7714545962423639,,,,,0.3225806451612903,0.0967741935483871,0.1935483870967742,0.1935483870967742,0.1290322580645161,0.064516129032258,,,,,-1.3109225219929412,-1.0947669719266513,-1.0136231898187644,-1.181337807480068,-1.14934798790633,-1.0031019394762295,,,,
NC_000921,Helicobacter pylori J99 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1559163.0, 1559314.0)","(1557569.0, 1557788.0)",,,1643831,0.3918870005493265,"(104.95394611358643, 0.628669023513794, 121.11039137840271)",1076241,549887.0,1551892.0,1400426.0,,,,,,,0.5351882032217924,0.3777056277056277,0.3690372813285252,0.3567705639687429,,,,,,,0.238095238095238,0.238095238095238,0.4285714285714285,0.0952380952380952,,,,,,,0.7824091209763131,0.0,0.7748504240153998,1.0,,,,,,,0.7566120901792546,1.0,0.0,0.2409350697277856,,,,,,,0.3636363636363636,0.2727272727272727,0.2727272727272727,0.0909090909090909,,,,,,,-1.6347150295185229,-1.1019610809244027,-0.9998281580339408,-1.0478451457322449,,,,,,
NC_017362,Helicobacter pylori Lithuania75 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1511982.0, 1512133.0)","(1510394.0, 1510613.0)",,,1624644,0.3891634105687153,"(105.7244610786438, 0.5501172542572021, 121.1420350074768)",985430,822574.0,563669.0,1260344.0,1553576.0,133663.0,,,,,0.399836938781844,0.3996720873730049,0.3942956816786277,0.3874654316992837,0.2795515990872611,0.2467308211167416,,,,,0.08,0.08,0.36,0.4,0.04,0.04,,,,,0.6053913230702982,0.3716295259626081,0.0,1.0,0.6887946316431621,0.3949273334051028,,,,,0.7480740791159017,1.0,0.981888609067452,0.3228029032677231,0.0,0.3167018334148047,,,,,0.2058823529411764,0.1470588235294117,0.1470588235294117,0.2352941176470588,0.2352941176470588,0.0294117647058823,,,,,-1.1009585167413631,-1.0874731377243363,-1.065137805756484,-1.1150392716838324,-1.0080678416194555,-1.0070874002948271,,,,
NC_022130,Helicobacter pylori SouthAfrica20,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1482080.0, 1482232.0)","(1480490.0, 1480711.0)",,,1622903,0.385660757297263,"(106.85178565979004, 0.7216601371765137, 122.95379519462585)",720975,1036690.0,865545.0,1223397.0,144184.0,226.0,1474911.0,,,,0.3043137254901961,0.2645267604240398,0.2316694239610914,0.1522238445578779,0.1417988100409833,0.1189652866462686,0.1047058823529411,,,,0.08,0.32,0.04,0.04,0.04,0.12,0.36,,,,1.0,0.5812442965981197,0.8082463232953461,0.3336012605844528,0.3703324950658941,0.1793905583497803,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1372549019607843,0.1568627450980392,0.1568627450980392,0.0784313725490196,0.2352941176470588,0.1764705882352941,0.0588235294117647,,,,-1.0250081630608234,-1.0636644829690935,-0.994239514347177,-1.0076702452549198,-1.1742447116027874,-1.118560389419079,-0.8735095993601389,,,
