RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_Occurance_oriC_0,G_Occurance_oriC_1,G_Occurance_oriC_2,G_Occurance_oriC_3,G_Occurance_oriC_4,G_Occurance_oriC_5,G_Occurance_oriC_6,G_Occurance_oriC_7,G_Occurance_oriC_8,G_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9,Prediction_oriC_0,Prediction_oriC_1,Prediction_oriC_2,Prediction_oriC_3,Prediction_oriC_4,Prediction_oriC_5,Prediction_oriC_6,Prediction_oriC_7,Prediction_oriC_8,Prediction_oriC_9
NC_017429,Chlamydia trachomatis G/9768 chromosome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720248.0, 720544.0)",,,,1042810,0.4130915507139364,"(140.3755066394806, 0.5117495059967041, 168.12136006355286)",9,720268.0,,,,,,,,,0.5037174456594139,0.3839973804664164,,,,,,,,,0.1818181818181818,0.8181818181818182,,,,,,,,,0.6626674884933934,0.0004769898840977,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,-1.178486267826778,1.000027867162685,,,,,,,,
NC_016638,Mycoplasma haemocanis str. Illinois chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1264.0, 1587.0)",,,,919992,0.3533356811798363,"(146.78818202018738, 0.5899579524993896, 167.7859902381897)",918170,759368.0,186781.0,,,,,,,,0.3095238095238095,0.1904761904761904,0.1666666666666666,,,,,,,,0.6428571428571429,0.1428571428571428,0.2142857142857142,,,,,,,,0.0,0.0,0.0,,,,,,,,0.2857142857142857,0.2857142857142857,0.4285714285714285,,,,,,,,-0.7018249538344046,-1.0046182221460649,-1.0289376588013974,,,,,,,
NC_017503,Mycoplasma gallisepticum str. F chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(977591.0, 1885.0)",,,,977612,0.3139589121246466,"(149.5320863723755, 0.593975305557251, 173.71773624420166)",964919,573943.0,877785.0,173867.0,,,,,,,0.2259259259259259,0.1925925925925925,0.1259259259259259,0.1222222222222222,,,,,,,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.1666666666666666,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.4,0.3,0.1,0.2,,,,,,,-1.0499269126106876,-1.0258266032749086,-1.0207800528794175,-1.0092430140284998,,,,,,
NC_017177,Clostridium difficile BI1,"Bacteria, Firmicutes, Clostridia, Clostridiales, Peptostreptococcaceae","(267626.0, 267993.0)",,,,300869,0.2499891979565857,"(46.96183633804321, 0.21027922630310059, 54.09893727302551)",25788,259305.0,,,,,,,,,0.4583333333333333,0.2083333333333333,,,,,,,,,0.375,0.625,,,,,,,,,0.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,-1.0318427148077385,-0.6423429153412892,,,,,,,,
NC_002506,Vibrio cholerae O1 biovar eltor str. N16961 chromosome 1I,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(247.0, 1133.0)",,,,1072315,0.4691354685889873,"(156.5949375629425, 0.772681713104248, 184.854674577713)",1925,880914.0,98333.0,455120.0,,,,,,,0.3055555555555555,0.1944444444444444,0.0833333333333333,0.0833333333333333,,,,,,,0.75,0.0833333333333333,0.0833333333333333,0.0833333333333333,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.5,,,,,,,0.222452681035036,-1.0183917174708492,-1.0183917174708492,-1.052648723525011,,,,,,
NC_016931,Rickettsia massiliae str. AZT80 chromosome,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(1263331.0, 1263719.0)",,,,1263719,0.3260511237070899,"(158.73546266555786, 0.7602455615997314, 190.73519039154053)",1220368,482920.0,892462.0,245232.0,119127.0,,,,,,0.3260959831586169,0.3145961880971514,0.2786659216032878,0.2429979334019689,0.1906169810210165,,,,,,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0714285714285714,0.5,,,,,,0.2354308066187078,0.6009314214343116,0.7645691933812921,0.2289938002059067,0.2289938002059067,,,,,,0.6,0.2,0.2,0.0,0.0,,,,,,-1.7405353198017233,-1.054089401298996,-1.2554881941227345,-1.029357357096928,-0.99973617202025,,,,,
NC_021897,Chlamydia trachomatis RC-L2(s)/3,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(723589.0, 723885.0)",,,,1046171,0.4131370492969122,"(172.85820841789246, 0.5954775810241699, 196.07268571853638)",9,723610.0,,,,,,,,,0.4705344316326492,0.4158892181589916,,,,,,,,,0.1818181818181818,0.8181818181818182,,,,,,,,,0.6583565416511945,0.0009144077237281,,,,,,,,,0.5714285714285714,0.4285714285714285,,,,,,,,,-0.9640556533851958,1.0957042575886635,,,,,,,,
NC_017042,Rickettsia rhipicephali str. 3-7-female6-CWPP chromosome,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(110342.0, 110728.0)",,,,1290368,0.3240563932149588,"(172.57052564620972, 0.5749268531799316, 204.23718690872192)",810092,80653.0,1043683.0,1166587.0,353571.0,,,,,,0.4149513158875718,0.382147934839335,0.31589249235816,0.2780065607992246,0.1295977037202713,,,,,,0.6470588235294118,0.1176470588235294,0.1176470588235294,0.0588235294117647,0.0588235294117647,,,,,,0.8660304182509506,0.2193849809885931,0.7100304182509506,0.4763726235741444,0.2899695817490494,,,,,,0.32,0.28,0.12,0.24,0.04,,,,,,0.2698021264381358,-1.106960157017569,-1.0086711531385797,-1.0226625474488324,-1.0632572227831654,,,,,
NC_021891,Chlamydia trachomatis RC-J(s)/122,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(723622.0, 723918.0)",,,,1061854,0.4148960214869464,"(186.14165902137756, 0.9192240238189697, 210.9178183078766)",9,723643.0,817614.0,,,,,,,,0.4488179353568025,0.39315801548161,0.2079728302964248,,,,,,,,0.1666666666666666,0.75,0.0833333333333333,,,,,,,,0.7353426949592966,0.2072518242226078,0.2072518242226079,,,,,,,,0.4444444444444444,0.2222222222222222,0.3333333333333333,,,,,,,,-1.4569073231083405,1.000017796950856,-1.0963972584367534,,,,,,,
NC_013532,Anaplasma centrale str. Israel,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Anaplasma","(95115.0, 95499.0)",,,,1206806,0.4998491886848424,"(196.5674068927765, 1.2093043327331543, 219.99675369262695)",76842,403472.0,795186.0,272100.0,1143021.0,,,,,,0.4278371846733539,0.3159243283742269,0.2659243283742269,0.2588235294117647,0.254307772908648,,,,,,0.5294117647058824,0.1176470588235294,0.1176470588235294,0.1764705882352941,0.0588235294117647,,,,,,0.4540997893141794,0.4540997893141794,0.5801259262991515,0.5801259262991515,0.5,,,,,,0.3,0.25,0.25,0.1,0.1,,,,,,-0.815178425247411,-1.0951429884115962,-1.0925154730913684,-0.9948612334993792,-1.16484068935985,,,,,
NC_017366,Helicobacter pylori F32 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1497710.0, 1497862.0)","(1496123.0, 1496341.0)",,,1578824,0.3886037962432798,"(226.08986568450928, 1.0588912963867188, 258.4789066314697)",1509939,148945.0,589739.0,1352212.0,1053580.0,769484.0,,,,,0.3902276749031286,0.3591735438489976,0.2660766435255871,0.2159680936624156,0.1973094790788399,0.1770815588509196,,,,,0.3846153846153846,0.2692307692307692,0.0384615384615384,0.1153846153846153,0.1153846153846153,0.0769230769230769,,,,,0.6082898623162236,0.6082898623162236,0.5050675374143682,0.4094427425257084,0.3432104885185709,0.3432104885185709,,,,,0.1777777777777777,0.1777777777777777,0.2,0.2,0.1333333333333333,0.1111111111111111,,,,,-1.080329424886572,-1.0903403317980898,-1.009256131016273,-1.066975492207065,-1.0300960165774464,-1.0431889248887822,,,,
NC_019439,Anabaena sp. 90 chromosome chANA02,"Bacteria, Cyanobacteria, Nostocales, Nostocaceae, Anabaena","(624285.0, 625475.0)",,,,819965,0.382121188099492,"(130.77964758872986, 0.37848520278930664, 148.88724517822266)",84267,2174.0,487196.0,148130.0,326673.0,738452.0,623614.0,233587.0,,,0.1488603988603988,0.1346153846153846,0.0811965811965812,0.079059829059829,0.0719373219373219,0.0719373219373219,0.0605413105413105,0.0185185185185185,,,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.25,0.1666666666666666,0.0833333333333333,0.0277777777777777,0.0555555555555555,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3076923076923077,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,,,-1.0038038105703049,-1.0196691613014377,-1.0196691613014377,-1.0088945871075063,-1.0275622182844026,-1.0170032833774778,-0.999867563194358,-1.0074988533190077,,
NC_002936,Dehalococcoides ethenogenes 195,"Bacteria, Chloroflexi, Dehalococcoidetes, Dehalococcoides","(1599.0, 1923.0)",,,,1469720,0.4885025719184606,"(232.37650394439697, 0.8748815059661865, 268.17519068717957)",1710,1299062.0,987594.0,842699.0,,,,,,,0.4725943876649907,0.4345479426606014,0.303133761403316,0.2004825354119323,,,,,,,0.6923076923076923,0.1538461538461538,0.0769230769230769,0.0769230769230769,,,,,,,0.7254754706872799,0.7267207510587275,0.5055551303637941,0.2745245293127201,,,,,,,0.0,0.5,0.25,0.25,,,,,,,-1.1381127963129964,-1.5752786169567168,-1.0446762965412555,-1.059761928779296,,,,,,
NC_016628,Vibrio furnissii NCTC 11218 chromosome chromosome 2,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(1029793.0, 1031066.0)",,,,1621862,0.5054591574375625,"(225.76103830337524, 0.8933620452880859, 268.8104798793793)",1031498,,,,,,,,,,0.6666666666666666,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0004439049951364,,,,,,,,,
NC_022660,Campylobacter coli 15-537360,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter","(1324.0, 1487.0)",,,,1658752,0.3144629215217223,"(242.10027647018433, 0.6621181964874268, 284.9792466163635)",3286,222808.0,1508826.0,,,,,,,,0.7531833151714444,0.1794766174884881,0.1743049036093707,,,,,,,,0.8181818181818182,0.0909090909090909,0.0909090909090909,,,,,,,,0.996923682888071,0.003076317111929,0.3208945088079101,,,,,,,,0.4444444444444444,0.4444444444444444,0.1111111111111111,,,,,,,,1.0709957250703317,-1.0196079311334936,-1.025454509428017,,,,,,,
NC_011025,Mycoplasma arthritidis 158L3-1,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(820215.0, 106.0)",,,,820453,0.3070949828935966,"(131.95119905471802, 0.3972764015197754, 150.25251364707947)",816159,712246.0,141334.0,104046.0,176805.0,224876.0,613893.0,262377.0,362659.0,482107.0,0.445582901916727,0.2886707720487934,0.285743670175132,0.2684155100070578,0.2559489870650281,0.2042736076423174,0.1588421843311815,0.1389110525280893,0.1091309027970777,0.0920333219124959,0.2272727272727272,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.0681818181818181,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.1136363636363636,0.0454545454545454,0.9983648673663428,0.7069214070554711,0.6223825256769112,0.7269637017383451,0.5228974662455896,0.3880733481794776,0.4310720075389991,0.2828947737458841,0.0016351326336574,0.0614535010910233,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.1666666666666666,0.1666666666666666,0.0555555555555555,0.0555555555555555,-1.2822577831741535,-1.0299662603333113,-0.9977966980348764,-1.1066953780459778,-1.6293786894554936,-1.0004286905537194,-1.058395899609537,-1.0153388767950426,-1.027859437159436,-1.0462802144448355
NC_003912,Campylobacter jejuni RM1221,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter","(1324.0, 1482.0)",,,,1777831,0.3030614270985262,"(267.06341648101807, 1.328202247619629, 308.2585115432739)",1747387,195408.0,,,,,,,,,0.7231580020356213,0.2768419979643786,,,,,,,,,0.6111111111111112,0.3888888888888889,,,,,,,,,0.9958628949957528,0.0041371050042471,,,,,,,,,0.5625,0.4375,,,,,,,,,1.1726324494141762,-1.1059770549667585,,,,,,,,
NC_020511,Chlamydia trachomatis IU824 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(721030.0, 721329.0)",,,,1043022,0.4130018350523766,"(179.04941391944885, 0.4007270336151123, 205.7949242591858)",4,721054.0,,,,,,,,,0.4481159982560299,0.4396296516636935,,,,,,,,,0.1818181818181818,0.8181818181818182,,,,,,,,,0.662529812949908,0.0007071368092622,,,,,,,,,0.5,0.5,,,,,,,,,-0.9974401621988074,1.337011693802281,,,,,,,,
NC_010677,Francisella tularensis subsp. mediasiatica FSC147,"Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Francisellaceae, Francisella","(1893453.0, 129.0)",,,,1893886,0.3225421171073654,"(276.16945457458496, 1.1756675243377686, 321.2474477291107)",24834,1677419.0,693996.0,,,,,,,,0.7643467643467643,0.3897416256665586,0.083028083028083,,,,,,,,0.7692307692307693,0.0769230769230769,0.1538461538461538,,,,,,,,1.0,0.711349419124218,0.0,,,,,,,,0.5238095238095238,0.3809523809523809,0.0952380952380952,,,,,,,,1.0283359142252977,-1.7675571523507123,-1.02585400566747,,,,,,,
NC_023151,Thermotoga maritima MSB8,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(788099.0, 788661.0)",,,,1869644,0.4624896504361258,"(279.60664916038513, 0.9705255031585693, 328.97888374328613)",1826827,803159.0,1303201.0,383794.0,1116957.0,948449.0,1546594.0,,,,0.3274660065455144,0.3043934899004698,0.2958317810841439,0.2894910803251517,0.202883063135426,0.1772420374944003,0.1612163964687593,,,,0.2692307692307692,0.2692307692307692,0.0769230769230769,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.0384615384615384,,,,0.617013404251928,0.5189497004706403,0.3682645740216625,0.6665501640523783,0.3682645740216627,0.3682645740216627,0.3682645740216627,,,,0.125,0.125,0.125,0.125,0.25,0.25,0.0,,,,-1.0367253142187716,-0.9963641178283932,-1.049239579582875,-1.0034284768110249,-1.117058745778622,-1.117058745778622,-1.3413708360021426,,,
NC_020943,Chlamydia trachomatis D/SotonD5 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720202.0, 720498.0)",,,,1042140,0.4129972940295929,"(168.08927011489868, 0.45041418075561523, 191.03456950187683)",4,720223.0,,,,,,,,,0.5038583412672112,0.3841979444305429,,,,,,,,,0.1818181818181818,0.8181818181818182,,,,,,,,,0.6630901753167853,0.0010786817764772,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,-1.179882279742416,1.0058905379648015,,,,,,,,
NC_017951,Chlamydia trachomatis F/SW4,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720762.0, 721058.0)",,,,1042736,0.4131045633794172,"(173.81060028076172, 0.5835762023925781, 195.66288471221924)",4,720783.0,,,,,,,,,0.4483710394449416,0.4397694369152425,,,,,,,,,0.1818181818181818,0.8181818181818182,,,,,,,,,0.6632949365166433,0.0011264925639093,,,,,,,,,0.5,0.5,,,,,,,,,-0.9998319246117058,1.340622801116779,,,,,,,,
NZ_LN515399,"Mycoplasma capricolum subsp. capripneumoniae strain ILRI181 genome assembly, chromosome: 1.","Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1016889.0, 1017183.0)",,,,1017183,0.236664395688878,"(144.0395483970642, 0.6852321624755859, 167.94309639930725)",5502,897009.0,89915.0,270306.0,431476.0,637908.0,,,,,0.4641203703703704,0.4057358515099774,0.3888062188719916,0.1782021418365127,0.130787037037037,0.1080766329591668,,,,,0.15625,0.15625,0.03125,0.28125,0.28125,0.09375,,,,,1.0,0.7276242211965989,0.8018353232826416,0.3783564255095382,0.0,0.1193687877663894,,,,,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,,-0.5654267826669299,-1.4655713787397469,-1.574253315078221,-1.0234015016023656,-1.0210329740127415,-1.0320380024378162,,,,
NC_007509,Burkholderia sp. 383 chromosome 3,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, Burkholderia cepacia complex","(1392996.0, 536.0)",,,,1395069,0.6527483586833339,"(191.45263028144836, 1.3208026885986328, 228.65402960777283)",5308,775876.0,,,,,,,,,0.282051282051282,0.0512820512820512,,,,,,,,,0.8461538461538461,0.1538461538461538,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,1.2229646970941124,-1.032439836155107,,,,,,,,
NC_020964,Chlamydia trachomatis F/SotonF3 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720804.0, 721100.0)",,,,1042789,0.4130212344012067,"(162.23439359664917, 0.3563687801361084, 182.22633385658264)",4,720824.0,,,,,,,,,0.4483431161688474,0.4397586005276739,,,,,,,,,0.1818181818181818,0.8181818181818182,,,,,,,,,0.6632111666883604,0.0010939834012037,,,,,,,,,0.5,0.5,,,,,,,,,-0.9995694898249364,1.3403433831317375,,,,,,,,
NC_017430,Chlamydia trachomatis G/11222 chromosome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(719799.0, 720095.0)",,,,1042354,0.4131149302444275,"(161.04373621940613, 0.5053634643554688, 182.0265040397644)",9,719820.0,,,,,,,,,0.5038727996780122,0.3838513010514486,,,,,,,,,0.1818181818181818,0.8181818181818182,,,,,,,,,0.6631335505491882,3.8751639194312126e-05,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,-1.180025679912469,0.995741545869378,,,,,,,,
