RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,N_penalty,O_penalty,D_penalty
NZ_CP008889,"Dermacoccus nishinomiyaensis strain M25, complete genome.","Bacteria, Actinobacteria, Micrococcales, Dermacoccaceae, Dermacoccus","(130468.0, 131223.0)",,,,3029021,True,"(137712, 138212)",137962,"(3021853, 3022353)",3022103.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[43540, 36310]"
NZ_CP013911,"Staphylococcus haemolyticus strain S167, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus","(2549137.0, 476.0)","(2547480.0, 2547780.0)",,,2549338,False,"(2771, 3271)",3021,,,,,,,,,,,,,,,,,[0.0],0,[64020]
NZ_CP023011,"Enterococcus hirae strain FDAARGOS_234 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus","(664253.0, 664783.0)","(662729.0, 662917.0)",,,2845651,False,"(692668, 693168)",692918,,,,,,,,,,,,,,,,,[0.0],0,[570810]
NZ_CP023392,"Lactococcus raffinolactis strain WiKim0068 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus","(1026196.0, 1026366.0)","(1024465.0, 1024824.0)",,,2217417,False,"(1028530, 1029030)",1028780,"(2211415, 2211915)",2211665.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[69790, 145360]"
NZ_CP013661,"Planococcus kocurii strain ATCC 43650, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Planococcus","(1763094.0, 1763584.0)","(1761578.0, 1761749.0)",,,3472056,False,"(1767490, 1767990)",1767740,,,,,,,,,,,,,,,,,[0.0],0,[101960]
NZ_CP014161,"Aerococcus urinae strain CCUG36881, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Aerococcus","(1931612.0, 1932372.0)",,,,1974262,False,"(1965795, 1966295)",1966045,,,,,,,,,,,,,,,,,[0.0],0,[338320]
NZ_CP014164,"Aerococcus viridans strain CCUG4311, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Aerococcus","(56821.0, 57055.0)","(54761.0, 55485.0)",,,2199877,False,"(2199105, 2199605)",2199355,,,,,,,,,,,,,,,,,[0.0],0,[10290]
NZ_CP014842,"Bacillus licheniformis strain SCDB 14 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus","(114131.0, 114769.0)","(112614.0, 112789.0)",,,4136986,False,"(119742, 120242)",119992,,,,,,,,,,,,,,,,,[0.0],0,[116220]
NZ_CP016622,"Parageobacillus thermoglucosidasius strain NCIMB 11955 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Parageobacillus","(614505.0, 614974.0)","(612971.0, 613151.0)",,,3873105,False,"(609172, 609672)",609422,,,,,,,,,,,,,,,,,[0.0],0,[102010]
NZ_CP014616,"Sporosarcina psychrophila strain DSM 6497, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Sporosarcina","(31495.0, 31999.0)","(29975.0, 30144.0)",,,4674191,False,"(20605, 21105)",20855,,,,,,,,,,,,,,,,,[0.0],0,[417250]
NZ_CP012024,"Bacillus smithii strain DSM 4216, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus","(3368180.0, 3368778.0)","(1345.0, 1530.0)",,,3368778,False,"(4136, 4636)",4386,,,,,,,,,,,,,,,,,[0.0],0,[88770]
NZ_CP017962,"Virgibacillus halodenitrificans strain PDB-F2 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Virgibacillus","(3869370.0, 3869934.0)",,,,3869935,False,"(2292, 2792)",2542,,,,,,,,,,,,,,,,,[0.0],0,[50840]
NZ_CP013239,"Clostridium butyricum strain CDC_51208, complete genome.","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(411099.0, 411611.0)","(409484.0, 409745.0)",,,3809831,False,"(5751, 6251)",6001,,,,,,,,,,,,,,,,,[0.0],0,[139500]
NZ_LT906477,"Clostridium cochlearium strain NCTC13027 genome assembly, chromosome: 1.","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(2434587.0, 2435083.0)",,,,2435419,False,"(2434711, 2435211)",2434961,,,,,,,,,,,,,,,,,[0.0],200,[2080]
NZ_CP020559,"Clostridium formicaceticum strain DSM 92 chromosome, complete genome.","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(4586236.0, 100.0)","(1442.0, 1677.0)",,,4586728,False,"(4586253, 24)",4586503,,,,,,,,,,,,,,,,,[0.0],200,[4050]
NZ_CP013019,"Clostridium pasteurianum strain M150B, complete genome.","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(4351340.0, 100.0)","(1448.0, 1702.0)",,,4351863,False,"(4251, 4751)",4501,,,,,,,,,,,,,,,,,[0.0],0,[90500]
NZ_CP014150,"Paeniclostridium sordellii strain AM370 chromosome, complete genome.","Bacteria, Firmicutes, Clostridia, Clostridiales, Peptostreptococcaceae, Paeniclostridium","(3549887.0, 3550458.0)","(1333.0, 1573.0)",,,3550458,False,"(3550362, 405)",155,,,,,,,,,,,,,,,,,[0.0],200,[1500]
NC_014334,Lactobacillus casei str. Zhang chromosome,"Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus","(2860929.0, 2861848.0)","(1351.0, 1522.0)",,,2861969,False,"(1879, 2379)",2129,,,,,,,,,,,,,,,,,[0.0],0,[51360]
NZ_LT604074,"Lactobacillus salivarius isolate LPM01 genome assembly, chromosome: I.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus","(889039.0, 889204.0)","(887167.0, 887673.0)",,,1788723,False,"(889915, 890415)",890165,,,,,,,,,,,,,,,,,[0.0],0,[40490]
NZ_LT906444,"Listeria welshimeri strain NCTC11857 genome assembly, chromosome: 1.","Bacteria, Firmicutes, Bacilli, Bacillales, Listeriaceae, Listeria","(2813634.0, 2814137.0)","(1357.0, 1549.0)",,,2814137,False,"(2809751, 2810251)",2810001,,,,,,,,,,,,,,,,,[0.0],0,[82730]
NZ_CP007519,"Trueperella pyogenes strain TP6375, complete genome.","Bacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Trueperella","(1612911.0, 1613248.0)",,,,2338390,False,"(1629395, 1629895)",1629645,,,,,,,,,,,,,,,,,[0.0],0,[342220]
NZ_CP010413,"Bifidobacterium breve strain BR3, complete genome.","Bacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium","(2196871.0, 2197188.0)",,,,2421115,False,"(1787556, 1788056)",1787806,"(1528731, 1529231)",1528981.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[338070, 343270]"
NZ_CP007287,"Bifidobacterium coryneforme strain LMG18911, complete genome.","Bacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium","(1754712.0, 1755151.0)","(1771.0, 2181.0)",,,1755151,False,"(3384, 3884)",3634,"(436705, 437205)",436955.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[117080, 318810]"
NZ_CP022544,"Bifidobacterium pseudolongum strain UMB-MBP-01 chromosome, complete genome.","Bacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium","(2007847.0, 71.0)","(1650.0, 2147.0)",,,2008102,False,"(1984265, 1984765)",1984515,,,,,,,,,,,,,,,,,[0.0],0,[331750]
NZ_CP009251,"Corynebacterium stationis strain 622=DSM 20302, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2807971.0, 2808767.0)","(1837.0, 2579.0)",,,2808767,False,"(814, 1314)",1064,,,,,,,,,,,,,,,,,[0.0],300,[23250]
NZ_CP016826,"Corynebacterium pseudotuberculosis strain MEX29, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2336891.0, 2337866.0)","(1813.0, 2052.0)",,,2337866,False,"(2336187, 2336687)",2336437,,,,,,,,,,,,,,,,,[0.0],0,[25460]
NZ_CP019962,"Eubacterium limosum strain ATCC 8486 chromosome, complete genome.","Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Eubacterium","(690816.0, 691168.0)","(688957.0, 689465.0)",,,4422837,False,"(698568, 699068)",698818,,,,,,,,,,,,,,,,,[0.0],0,[187530]
NZ_LT593929,"Propionibacterium freudenreichii isolate PFRJS14 genome assembly, chromosome: I.","Bacteria, Actinobacteria, Propionibacteriales, Propionibacteriaceae, Propionibacterium","(10185.0, 12059.0)",,,,2507188,False,"(19753, 20253)",20003,"(2033261, 2033761)",2033511.0,"(1507184, 1507684)",1507434.0,"(1767210, 1767710)",1767460.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",0,"[216900, 357630, 373760, 501200]"
NZ_CP011269,"Mycobacterium fortuitum strain CT6, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, Mycobacterium fortuitum complex","(1519.0, 2143.0)",,,,6254616,False,"(9915, 10415)",10165,"(569317, 569817)",569567.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[42110, 165170]"
NC_020990,Streptomyces albus J1074,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces","(3419111.0, 3420244.0)",,,,6841649,False,"(6838183, 6838683)",6838433,"(1186271, 1186771)",1186521.0,"(4542609, 4543109)",4542859.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[220, 45010, 9180]"
NZ_CP009896,"Pimelobacter simplex strain VKM Ac-2033D, complete genome.","Bacteria, Actinobacteria, Propionibacteriales, Nocardioidaceae, Pimelobacter","(5636809.0, 54.0)",,,,5637360,False,"(5631107, 5631607)",5631357,"(3538250, 3538750)",3538500.0,"(5136171, 5136671)",5136421.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[3870, 42370, 504880]"
NZ_CP013197,"Spiroplasma citri strain R8-A2 chromosome, complete genome.","Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(1599176.0, 57.0)",,,,1599709,False,"(1593042, 1593542)",1593292,"(997056, 997556)",997306.0,"(1169515, 1170015)",1169765.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[35370, 128680, 348460]"
NZ_CP024411,Mesoplasma entomophilum strain TAC chromosome,"Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Entomoplasmataceae, Mesoplasma","(847668.0, 847967.0)","(1333.0, 1559.0)",,,847967,False,"(847685, 217)",847935,,,,,,,,,,,,,,,,,[0.0],200,[310]
NZ_CP009170,"Thermoanaerobacter kivui strain DSM 2030, complete genome.","Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Thermoanaerobacter","(2397402.0, 100.0)",,,,2397824,False,"(7450, 7950)",7700,,,,,,,,,,,,,,,,,[0.0],0,[154720]
NZ_CP006568,"Candidatus Sodalis pierantonius str. SOPE, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pectobacteriaceae, Sodalis","(4513128.0, 350.0)",,,,4513140,False,"(3980619, 3981119)",3980869,"(2470, 2970)",2720.0,"(2652154, 2652654)",2652404.0,"(4430461, 4430961)",4430711.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",0,"[524000, 242140, 47970, 243980]"
NZ_CP025491,"Legionella sainthelensi strain LA01-117 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella","(1017048.0, 1017997.0)",,,,4333322,False,"(3358, 3858)",3608,,,,,,,,,,,,,,,,,[0.0],0,[72140]
NZ_CP018321,"Alteromonas macleodii strain Te101 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas","(4629664.0, 207.0)",,,,4630082,False,"(17701, 18201)",17951,,,,,,,,,,,,,,,,,[0.0],0,[148890]
NZ_CP011036,"Pseudoalteromonas nigrifaciens strain KMM 661 chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas","(3514821.0, 3515246.0)",,,,3521200,False,"(6479, 6979)",6729,,,,,,,,,,,,,,,,,[0.0],0,[132910]
NZ_CP024727,Prevotella intermedia strain KCOM 1949 chromosome 1,"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae,Prevotella","(380461.0, 380949.0)",,,,2011558,False,"(426144, 426644)",426394,,,,,,,,,,,,,,,,,[0.0],200,[591960]
NZ_CP014176,"Clostridium botulinum strain 89G, complete genome.","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(177789.0, 178400.0)","(176180.0, 176438.0)",,,4662988,False,"(4662474, 4662974)",4662724,"(177615, 178115)",177865.0,,,,,,,,,,,,,,,"[0.0, 0.0]",200,"[2870, 800]"
NZ_CP011158,"Moraxella ovis strain 199/55, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Moraxella","(2264847.0, 2265514.0)",,,,2265514,False,"(42, 542)",292,,,,,,,,,,,,,,,,,[0.0],0,[1850]
NZ_CP021060,"Taylorella equigenitalis strain 92-0972 chromosome, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Taylorella","(1662736.0, 1663127.0)",,,,1666291,False,"(1666234, 444)",194,,,,,,,,,,,,,,,,,[0.0],0,[3870]
NZ_CP016174,"Amycolatopsis orientalis strain B-37, complete genome.","Bacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Amycolatopsis","(9489859.0, 9490992.0)",,,,9490992,False,"(9490746, 255)",5,"(8617328, 8617828)",8617578.0,"(798644, 799144)",798894.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",300,"[275140, 40, 65180]"
NZ_LT906441,"Cutibacterium granulosum strain NCTC11865 genome assembly, chromosome: 1.","Bacteria, Actinobacteria, Propionibacteriales, Propionibacteriaceae, Cutibacterium","(495100.0, 495635.0)",,,,2175244,False,"(496853, 497353)",497103,"(2174521, 2175021)",2174771.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[8420, 189230]"
NZ_CP009429,"Sphingopyxis macrogoltabida strain 203, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingopyxis","(4860289.0, 4860639.0)",,,,5174928,False,"(5010021, 5010521)",5010271,,,,,,,,,,,,,,,,,[0.0],0,[108070]
NZ_CP018866,"Bacillus cohnii strain DSM 6307 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus","(4596934.0, 4597112.0)","(4594941.0, 4595586.0)",,,4899141,False,"(90, 590)",340,,,,,,,,,,,,,,,,,[0.0],0,[6340]
NZ_CP018058,"Geobacillus thermocatenulatus strain KCTC 3921 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Geobacillus, Geobacillus thermoleovorans group","(273539.0, 274015.0)",,,,3742258,False,"(267100, 267600)",267350,,,,,,,,,,,,,,,,,[0.0],0,[124060]
NZ_CP017694,"Geobacillus thermodenitrificans strain KCTC3902 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Geobacillus","(1839846.0, 1840321.0)","(1838322.0, 1838492.0)",,,3505276,False,"(1834307, 1834807)",1834557,"(3505201, 426)",176.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[106160, 3260]"
NZ_CP015010,"Rickettsia bellii isolate An04 chromosome, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, belli group","(410427.0, 410817.0)",,,,1543886,True,"(657858, 658358)",658108,"(1524097, 1524597)",1524347.0,"(918640, 919140)",918890.0,"(418221, 418721)",418471.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",0,"[414730, 211550, 491190, 318480]"
NZ_CP014234,"Moraxella osloensis strain CCUG 350, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Moraxella","(1646535.0, 1647033.0)",,,,2434688,True,"(1090696, 1091196)",1090946,"(2249646, 2250146)",2249896.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[430330, 306670]"
NZ_CP014070,"Citrobacter amalonaticus strain FDAARGOS_165, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Citrobacter","(611008.0, 611386.0)",,,,5030678,False,"(613583, 614083)",613833,,,,,,,,,,,,,,,,,[0.0],0,[97930]
NZ_CP011312,"Corynebacterium kutscheri strain DSM 20755, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2353099.0, 15.0)",,,,2354065,False,"(2352448, 2352948)",2352698,,,,,,,,,,,,,,,,,[0.0],0,[27290]
NZ_LT906473,"Corynebacterium cystitidis strain NCTC11863 genome assembly, chromosome: 1.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2680125.0, 2680995.0)","(2677969.0, 2678471.0)",,,3011567,False,"(71157, 71657)",71407,,,,,,,,,,,,,,,,,[0.0],0,[118610]
NZ_CP018044,"Bifidobacterium choerinum strain FMB-1, complete genome.","Bacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium","(643799.0, 644287.0)",,,,2246282,False,"(662830, 663330)",663080,"(1851082, 1851582)",1851332.0,"(2045501, 2046001)",2045751.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",300,"[18430, 3460, 1150]"
NZ_CP022088,Nocardia brasiliensis strain FDAARGOS_352 chromosome,"Bacteria, Actinobacteria, Corynebacteriales, Nocardiaceae, Nocardia","(6541872.0, 6542536.0)","(6538922.0, 6539876.0)",,,8935513,False,"(6533442, 6533942)",6533692,,,,,,,,,,,,,,,,,[0.0],300,[73460]
NC_011047,Candidatus Phytoplasma mali,"Bacteria, Tenericutes, Mollicutes, Acholeplasmatales, Acholeplasmataceae, Candidatus Phytoplasma, 16SrX (Apple proliferation group)","(251976.0, 252876.0)",,,,601943,True,"(186004, 186504)",186254,"(227714, 228214)",227964.0,"(142482, 142982)",142732.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[287620, 546590, 582820]"
NZ_CP018863,"Arthrobacter crystallopoietes strain DSM 20117 chromosome, complete genome.","Bacteria, Actinobacteria, Micrococcales, Micrococcaceae, Arthrobacter","(1549881.0, 1550436.0)","(1548034.0, 1548461.0)",,,4762081,False,"(302808, 303308)",303058,,,,,,,,,,,,,,,,,[0.0],0,[476360]
NC_011726,Cyanothece sp. PCC 8801,"Bacteria, Cyanobacteria, Chroococcales, Cyanothece","(1067589.0, 1068216.0)",,,,4679413,False,"(2298534, 2299034)",2298784,,,,,,,,,,,,,,,,,[0.0],0,[246480]
NZ_CP007212,Burkholderia plantarii strain ATCC 43733 chromosome 1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales,Burkholderiaceae, Burkholderia","(4139724.0, 76.0)",,,,4140040,False,"(3969, 4469)",4219,,,,,,,,,,,,,,,,,[0.0],0,[64000]
NZ_CP023445,"Actinosynnema pretiosum strain X47 chromosome, complete genome.","Bacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Actinosynnema","(1835.0, 2631.0)",,,,8131572,False,"(4073130, 4073630)",4073380,"(4776227, 4776727)",4776477.0,"(1983579, 1984079)",1983829.0,"(3351389, 3351889)",3351639.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",0,"[127510, 23280, 8710, 9800]"
NZ_CP011801,"Nitrospira moscoviensis strain NSP M-1, complete genome.","Bacteria, Nitrospirae, Nitrospirales, Nitrospiraceae, Nitrospira","(4589340.0, 192.0)",,,,4589485,False,"(4556, 5056)",4806,"(420286, 420786)",420536.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[101210, 125340]"
NZ_CP014784,"Pseudomonas alcaligenes strain NEB 585, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(434946.0, 435470.0)",,,,4406305,False,"(410837, 411337)",411087,"(17587, 18087)",17837.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[62420, 140510]"
NZ_CP011451,"Nitrosomonas communis strain Nm2, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Nitrosomonadaceae, Nitrosomonas","(379450.0, 379655.0)",,,,4067838,False,"(4065467, 4065967)",4065717,,,,,,,,,,,,,,,,,[0.0],0,[42390]
NZ_CP013341,Nitrosomonas ureae strain Nm10,"Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,Nitrosomonadaceae, Nitrosomonas","(1070731.0, 1070919.0)",,,,3307820,False,"(1066355, 1066855)",1066605,,,,,,,,,,,,,,,,,[0.0],0,[145980]
NZ_CP014229,"Desulfovibrio fairfieldensis strain CCUG 45958, complete genome.","Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio","(3241782.0, 3242311.0)",,,,3699310,True,"(3246014, 3246514)",3246264,"(26600, 27100)",26850.0,"(993278, 993778)",993528.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[73660, 367090, 446750]"
NZ_LT906451,"Legionella lansingensis strain NCTC12830 genome assembly, chromosome: 1.","Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella","(2988532.0, 2989256.0)",,,,2989256,False,"(2987208, 2987708)",2987458,,,,,,,,,,,,,,,,,[0.0],0,[93520]
