RefSeq,Organism,Sequence_length,Penalties,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,oriC_edges_9,oriC_middles_9
NZ_CP077366.1,"Pantoea agglomerans strain FDAARGOS 1447 chromosome, complete genome",3999686,"([0.0, 0.0], 0, [54170, 8040])",False,"(621466, 621966)",621716,"(3998465, 3998965)",3998715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP009756.1,"Enterobacter cloacae strain GGT036 chromosome, complete genome",4848754,"([0.0], 0, [98360])",False,"(4818530, 4819030)",4818780,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP051652.1,"Pectobacterium carotovorum strain WPP14 chromosome, complete genome",4892225,"([0.0], 300, [70])",False,"(4891980, 256)",6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP057657.1,"Escherichia fergusonii strain RHB19-C05 chromosome, complete genome",4584354,"([0.0, 0.0], 0, [76680, 3660])",False,"(2843160, 2843660)",2843410,"(4584303, 450)",200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP042941.1,"Atlantibacter hermannii strain ATCC 33651 chromosome, complete genome",4315318,"([0.0, 0.0], 0, [325160, 37000])",True,"(4312278, 4312778)",4312528,"(2795020, 2795520)",2795270,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP050150.1,"Hafnia alvei strain A23BA chromosome, complete genome",4687005,"([0.0], 0, [91750])",False,"(4649975, 4650475)",4650225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP033844.1,"Klebsiella oxytoca strain FDAARGOS_500 chromosome, complete genome",5864574,"([0.0], 0, [89860])",False,"(3553305, 3553805)",3553555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP050508.1,"Raoultella terrigena strain JH01 chromosome, complete genome",5598454,"([0.0, 0.0], 0, [502310, 399230])",True,"(5580228, 5580728)",5580478,"(26851, 27351)",27101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP029736.1,"Providencia rettgeri strain AR_0082 chromosome, complete genome",4309166,"([0.0, 0.0], 0, [345430, 77030])",False,"(741874, 742374)",742124,"(3912337, 3912837)",3912587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP048784.1,"Serratia liquefaciens strain S1 chromosome, complete genome",5317713,"([0.0], 0, [386240])",False,"(5290648, 5291148)",5290898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP055292.1,"Shigella sonnei strain SE6-1 chromosome, complete genome",4762774,"([0.0], 0, [97400])",False,"(1958095, 1958595)",1958345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP060401.1,"Xenorhabdus nematophila strain SII chromosome, complete genome",4275642,"([0.0, 0.0, 0.0], 0, [166390, 301620, 27870])",False,"(3716827, 3717327)",3717077,"(2556005, 2556505)",2556255,"(1059025, 1059525)",1059275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP046293.1,"Yersinia intermedia strain FDAARGOS_730 chromosome, complete genome",4928910,"([0.0], 0, [106890])",False,"(4694803, 4695303)",4695053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP023706.1,"Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome",3638764,"([0.0], 0, [39520])",False,"(1714025, 1714525)",1714275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP038613.1,"Arsenophonus nasoniae strain FIN chromosome, complete genome",3871978,"([0.0, 0.0], 0, [26510, 517550])",False,"(3870198, 3870698)",3870448,"(518872, 519372)",519122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP050851.1,"Aeromonas hydrophila strain OnP3.1 chromosome, complete genome",4766062,"([0.0], 0, [195530])",False,"(4756088, 4756588)",4756338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP051883.1,"Aeromonas salmonicida strain SRW-OG1 chromosome, complete genome",4621725,"([0.0], 0, [168530])",False,"(3545788, 3546288)",3546038,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AP022254.1,"Aeromonas caviae strain WP8-S18-ESBL-04 chromosome, complete genome",4507652,"([0.0], 0, [200420])",False,"(4497785, 4498285)",4498035,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP066092.1,"Aeromonas jandaei strain FDAARGOS_986 chromosome, complete genome",4551079,"([0.0], 0, [19790])",False,"(2295332, 2295832)",2295582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP075564.1,"Aeromonas media strain TR3_1 chromosome, complete genome",4521851,"([0.0], 0, [141050])",False,"(4508790, 4509290)",4509040,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP044060.1,"Aeromonas veronii strain FDAARGOS_632 chromosome, complete genome",4559061,"([0.0], 0, [145130])",False,"(3219208, 3219708)",3219458,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP065745.1,"Aeromonas allosaccharophila strain FDAARGOS_933 chromosome, complete genome",4624771,"([0.0], 0, [145060])",False,"(3483972, 3484472)",3484222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP043554.1,"Vibrio cholerae strain RFB16 chromosome 1, complete sequence",2948589,"([0.0], 0, [557180])",False,"(2920523, 2921023)",2920773,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP009467.1,"Vibrio harveyi strain ATCC 33843 (392 [MAV]) chromosome 1, complete sequence",3621606,"([0.0], 200, [372510])",False,"(3602706, 3603206)",3602956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP016321.1,"Vibrio vulnificus strain FORC_037 chromosome I, complete sequence",3224939,"([0.0], 0, [94980])",False,"(3220012, 3220512)",3220262,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP014056.2,"Grimontia hollisae strain FDAARGOS_111 chromosome 1, complete sequence",3215321,"([0.0], 0, [299740])",False,"(1257949, 1258449)",1258199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AP019773.1,"Bartonella quintana strain MF1-1 chromosome, complete genome",1588683,"([0.0], 0, [130990])",False,"(6300, 6800)",6550,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR134527.1,"Bartonella elizabethae strain NCTC12898 chromosome 1, complete sequence",2018538,"([0.0], 0, [528380])",False,"(1859686, 1860186)",1859936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP069563.1,"Bacteroides fragilis strain FDAARGOS_1225 chromosome, complete genome",5150703,"([0.0, 0.0], 200, [71950, 1470])",True,"(7452, 7952)",7702,"(992114, 992614)",992364,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP040530.1,"Bacteroides thetaiotaomicron strain DSM 2079 chromosome, complete genome",6271157,"([0.0], 300, [86080])",False,"(1342224, 1342724)",1342474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AP025240.1,"Phocaeicola vulgatus strain MG01-10 chromosome, complete genome",4957189,"([0.0], 0, [33120])",False,"(4955217, 4955717)",4955467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP012196.1,"Campylobacter gracilis strain ATCC 33236 chromosome, complete genome",2281652,"([0.0, 0.0, 0.0, 0.0], 0, [511300, 570110, 374250, 452180])",True,"(2255837, 2256337)",2256087,"(2207663, 2208163)",2207913,"(652316, 652816)",652566,"(1413891, 1414391)",1414141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP071890.1,"Prevotella ruminicola strain KHP1 chromosome, complete genome",3439340,"([0.0], 0, [458360])",False,"(3416998, 3417498)",3417248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP018787.1,"Oxalobacter formigenes strain HC-1 chromosome, complete genome",2468871,"([0.0, 0.0], 0, [198240, 20320])",True,"(260539, 261039)",260789,"(2467603, 2468103)",2467853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP030777.1,"Faecalibacterium prausnitzii strain APC918/95b chromosome, complete genome",2970937,"([0.0], 0, [219560])",False,"(1376225, 1376725)",1376475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP028105.1,"Fusobacterium ulcerans strain ATCC 49185 chromosome, complete genome",3537675,"([0.0], 0, [8280])",False,"(112, 612)",362,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP045424.1,"Pectinatus frisingensis strain MB139 chromosome, complete genome",2881049,"([0.0], 0, [8570])",False,"(2880371, 2880871)",2880621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP019913.2,"Desulfococcus multivorans strain DSM 2059 chromosome, complete genome",4455976,"([0.0], 0, [456200])",False,"(2977225, 2977725)",2977475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP027569.1,"Megasphaera elsdenii strain NCIMB702410 chromosome, complete genome",2566193,"([0.0, 0.0], 200, [112510, 349490])",False,"(1064698, 1065198)",1064948,"(2217699, 2218199)",2217949,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP040511.1,"Acidithiobacillus ferrooxidans strain YNTRS-40 chromosome, complete genome",3209933,"([0.0], 0, [124990])",False,"(8726, 9226)",8976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP020046.1,"Thiomonas intermedia strain ATCC 15466 chromosome, complete genome",3301026,"([0.0], 0, [18580])",False,"(1777297, 1777797)",1777547,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP007656.1,"Bdellovibrio bacteriovorus strain 109J chromosome, complete genome",3830427,"([5.22134999570544e-05], 0, [400770])",False,"(2487088, 2487588)",2487338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP030035.1,"Bacteriovorax stolpii strain AC01 chromosome, complete genome",3880871,"([0.0], 0, [140170])",False,"(3877268, 3877768)",3877518,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP034395.1,"Herbaspirillum seropedicae strain AU13965 chromosome, complete genome",5349998,"([0.0], 300, [210180])",False,"(255902, 256402)",256152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP054494.1,"Flavobacterium columnare strain F2S17 chromosome, complete genome",3221278,"([0.0], 0, [188090])",False,"(3211448, 3211948)",3211698,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR134404.1,"Weeksella virosa strain NCTC11634 chromosome 1, complete sequence",2287133,"([0.0, 0.0], 200, [52670, 211520])",True,"(16333, 16833)",16583,"(2047728, 2048228)",2047978,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP022386.1,"Capnocytophaga gingivalis strain H1496 chromosome, complete genome",2838633,"([0.0], 0, [352090])",False,"(1039147, 1039647)",1039397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP022379.1,"Capnocytophaga sputigena strain D1179 chromosome, complete genome",2855148,"([0.0], 0, [533180])",False,"(1367530, 1368030)",1367780,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP020470.1,"Fuscovulum blasticum strain 28/5 chromosome, complete genome",3548948,"([0.0, 0.0], 0, [110960, 130])",True,"(3548704, 257)",7,"(2826354, 2826854)",2826604,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP066699.1,"Rhodopseudomonas palustris strain RCB100 chromosome, complete genome",5448862,"([0.0], 300, [354290])",False,"(353979, 354479)",354229,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP012946.1,"Blastochloris viridis strain ATCC 19567 chromosome, complete genome",3724841,"([0.0, 0.0], 0, [470530, 538930])",True,"(3701064, 3701564)",3701314,"(26696, 27196)",26946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP016033.1,"Erythrobacter neustonensis strain DSM 9434 chromosome, complete genome",3090363,"([0.0, 0.0], 300, [70, 1100])",False,"(963598, 964098)",963848,"(3088260, 3088760)",3088510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_007604.1,"Synechococcus elongatus PCC 7942 = FACHB-805, complete sequence",2695903,"([0.0, 0.0, 0.0, 0.0], 0, [338240, 412770, 537640, 375050])",False,"(44520, 45020)",44770,"(2212780, 2213280)",2213030,"(1227427, 1227927)",1227677,"(2473456, 2473956)",2473706,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP039032.1,"Piscirickettsia salmonis strain Psal-070 chromosome, complete genome",3162712,"([0.0, 0.0], 0, [19830, 1540])",False,"(3162540, 329)",79,"(829485, 829985)",829735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP028251.1,"Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome",1988249,"([0.0], 0, [38540])",False,"(1699081, 1699581)",1699331,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP042387.1,"Leuconostoc lactis strain CBA3625 chromosome, complete genome",1781455,"([0.0, 0.0], 0, [33570, 3860])",False,"(679234, 679734)",679484,"(1781007, 51)",1781257,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP014324.1,"Oenococcus oeni strain UBOCC-A-315001 chromosome, complete genome",1876981,"([0.0], 0, [2590])",False,"(1876634, 152)",1876884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP023501.1,"Weissella paramesenteroides strain FDAARGOS_414 chromosome, complete genome",1947910,"([0.0, 0.0], 0, [40400, 280])",False,"(1645640, 1646140)",1645890,"(1947681, 272)",22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP042374.1,"Leuconostoc carnosum strain CBA3620 chromosome, complete genome",1590008,"([0.0], 0, [41120])",False,"(992054, 992554)",992304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP053421.1,"Pediococcus acidilactici strain PMC65 chromosome, complete genome",2044083,"([0.0, 0.0], 0, [503560, 101330])",True,"(24888, 25388)",25138,"(2038725, 2039225)",2038975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP065723.1,"Pediococcus pentosaceus strain FDAARGOS_873 chromosome, complete genome",1740871,"([0.0], 0, [43110])",False,"(46192, 46692)",46442,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP082331.1,"Micrococcus luteus strain CW.Ay chromosome, complete genome",2449847,"([0.0, 0.0, 0.0, 0.0, 0.0], 0, [97710, 424620, 82650, 66630, 440750])",True,"(128208, 128708)",128458,"(1566006, 1566506)",1566256,"(2213507, 2214007)",2213757,"(880559, 881059)",880809,"(1311120, 1311620)",1311370,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP008889.1,"Dermacoccus nishinomiyaensis strain M25 chromosome, complete genome",3029021,"([0.0, 0.0], 0, [43540, 36310])",True,"(137712, 138212)",137962,"(3021853, 3022353)",3022103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP035288.1,"Staphylococcus epidermidis strain ATCC 14990 chromosome, complete genome",2466502,"([0.0], 0, [294490])",False,"(2451531, 2452031)",2451781,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP013911.1,"Staphylococcus haemolyticus strain S167 chromosome, complete genome",2549338,"([0.0], 0, [64020])",False,"(2771, 3271)",3021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP053790.1,"Streptococcus canis strain HL_77_2 chromosome, complete genome",2152128,"([0.0], 0, [100850])",False,"(2146836, 2147336)",2147086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LS483436.1,"Streptococcus intermedius strain NCTC11324 chromosome 1, complete sequence",1932951,"([0.0], 0, [1420])",False,"(1932663, 211)",1932913,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR594050.1,Streptococcus porcinus strain NCTC10925 chromosome 1,1954699,"([0.0], 0, [104630])",False,"(1949218, 1949718)",1949468,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP043405.1,"Streptococcus ratti strain ATCC 31377 chromosome, complete genome",2096943,"([0.0], 0, [51250])",False,"(594974, 595474)",595224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LS483343.1,"Streptococcus ferus strain NCTC12278 chromosome 1, complete sequence",1872314,"([0.0], 0, [35210])",False,"(1426, 1926)",1676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP025420.1,"Streptococcus parauberis strain SPOF3K chromosome, complete genome",2128740,"([0.0], 0, [81990])",False,"(6197, 6697)",6447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP038996.1,"Enterococcus faecium strain SRR24 chromosome, complete genome",2796178,"([0.0], 0, [173750])",False,"(8367, 8867)",8617,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP023011.2,"Enterococcus hirae strain FDAARGOS_234 chromosome, complete genome",2845651,"([0.0], 0, [570810])",False,"(692668, 693168)",692918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP059048.1,"Lactococcus lactis strain LAC460 chromosome, complete genome",2426597,"([0.0], 0, [258870])",False,"(12704, 13204)",12954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP065637.1,"Lactococcus garvieae strain FDAARGOS_929 chromosome, complete genome",2049769,"([0.0], 0, [108440])",False,"(305478, 305978)",305728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP023392.1,"Lactococcus raffinolactis strain WiKim0068 chromosome, complete genome",2217417,"([0.0, 0.0], 0, [69790, 145360])",False,"(1028530, 1029030)",1028780,"(2211415, 2211915)",2211665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP013661.2,"Planococcus kocurii strain ATCC 43650 chromosome, complete genome",3472056,"([0.0], 0, [101960])",False,"(1767490, 1767990)",1767740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP014161.1,"Aerococcus urinae strain CCUG36881 chromosome, complete genome",1974262,"([0.0], 0, [338320])",False,"(1965795, 1966295)",1966045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP014164.1,"Aerococcus viridans strain CCUG4311 chromosome, complete genome",2199877,"([0.0], 0, [10290])",False,"(2199105, 2199605)",2199355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR134484.1,"Gemella haemolysans strain NCTC10459 chromosome 1, complete sequence",1926227,"([0.0], 0, [437430])",False,"(1904273, 1904773)",1904523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR134338.1,"Brevibacillus brevis strain NCTC2611 chromosome 1, complete sequence",6726998,"([0.0], 0, [3690])",False,"(6726536, 37)",6726786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP072774.1,"Bacillus cereus strain BC33 chromosome, complete genome",5325341,"([0.0], 0, [62770])",False,"(2871, 3371)",3121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP053989.1,"Niallia circulans strain FDAARGOS_783 chromosome, complete genome",5179558,"([0.0, 0.0, 0.0], 0, [21470, 295680, 108150])",False,"(111298, 111798)",111548,"(5178230, 5178730)",5178480,"(4296245, 4296745)",4296495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP014842.1,"Bacillus licheniformis strain SCDB 14 chromosome, complete genome",4136986,"([0.0], 0, [116220])",False,"(119742, 120242)",119992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP035997.1,"Bacillus mycoides strain BPN36/3 chromosome, complete genome",5215878,"([0.0, 0.0], 0, [21140, 36720])",False,"(2779233, 2779733)",2779483,"(1638, 2138)",1888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP040829.1,"Paenibacillus polymyxa strain ZF129 chromosome, complete genome",5703931,"([0.0], 0, [56570])",False,"(1885239, 1885739)",1885489,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP068053.1,"Peribacillus psychrosaccharolyticus strain FDAARGOS_1161 chromosome, complete genome",4613300,"([0.0], 0, [108020])",False,"(2823803, 2824303)",2824053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP016622.1,"Parageobacillus thermoglucosidasius strain Wild Type chromosome, complete genome",3873105,"([0.0], 0, [102010])",False,"(609172, 609672)",609422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
