RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,False_order,GC_Concentration,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Occurance_oriC_0,Occurance_oriC_1,Occurance_oriC_2,Occurance_oriC_3,Occurance_oriC_4,Occurance_oriC_5,Occurance_oriC_6,Occurance_oriC_7,Occurance_oriC_8,Occurance_oriC_9
NZ_AP014510,Thermotoga profunda AZM34c06 DNA,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(89175.0, 89775.0)",,,,2187612,True,0.3879673360723931,1453820,270157.0,804755.0,14447.0,,,,,,,0.4090909090909091,0.3181818181818182,0.1363636363636363,0.1363636363636363,,,,,,
NC_015514,Cellulomonas fimi ATCC 484 chromosome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Cellulomonadaceae, Cellulomonas","(1572.0, 2400.0)",,,,4266344,False,0.7472433071501032,5456,3668320.0,2032694.0,3209380.0,811070.0,,,,,,0.375,0.2916666666666667,0.125,0.125,0.0833333333333333,,,,,
NC_010547,Cyanothece sp. ATCC 51142 chromosome linear,"Bacteria, Cyanobacteria, Chroococcales, Cyanothece","(373518.0, 373849.0)",,,,429701,True,0.3856867915131685,235899,27971.0,357335.0,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,
NZ_CP006841,"Corynebacterium lactis RW2-5, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2769010.0, 2769745.0)","(1657.0, 2077.0)",,,2769745,False,0.6052979606425862,749,,,,,,,,,,1.0,,,,,,,,,
NC_021870,Salmonella bongori N268-08,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(3927084.0, 3927461.0)",,,,4683551,False,0.5134115119062438,3929754,,,,,,,,,,1.0,,,,,,,,,
NC_020419,Uncultured Termite group 1 bacterium phylotype Rs-D17 DNA,"Bacteria, Elusimicrobia, environmental samples","(1125789.0, 981.0)",,,,1125857,False,0.3520740200576094,203,224241.0,,,,,,,,,0.75,0.25,,,,,,,,
NC_013740,Mycobacterium bovis BCG strain 3281,"Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Acidaminococcus","(1195.0, 1915.0)","(2540.0, 2750.0)","(4140.0, 4386.0)","(2329473.0, 33.0)",2329769,False,0.5584270371869485,13130,,,,,,,,,,1.0,,,,,,,,,
NZ_CP009498,"Endomicrobium proavitum strain Rsa215, complete genome.","Bacteria, Elusimicrobia, Endomicrobia, Endomicrobiales, Endomicrobiaceae, Endomicrobium","(1332129.0, 1332528.0)",,,,1588979,True,0.3934161496155707,3811,1334062.0,,,,,,,,,0.75,0.25,,,,,,,,
NZ_CP017279,"Enterobacter ludwigii strain EN-119 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Enterobacter, Enterobacter cloacae complex","(3205100.0, 3205473.0)",,,,4857439,False,0.5459597125151752,3203986,696.0,3671697.0,,,,,,,,0.6428571428571429,0.2142857142857142,0.1428571428571428,,,,,,,
NC_015064,Acidobacterium sp. MP5ACTX9 chromosome,"Bacteria, Acidobacteria, Acidobacteriales, Acidobacteriaceae, Acidobacterium","(2438.0, 3077.0)",,,,4309153,True,0.6051388753195813,4280922,400360.0,1031269.0,2607591.0,,,,,,,0.3076923076923077,0.2307692307692307,0.2307692307692307,0.2307692307692307,,,,,,
NC_015671,Cellvibrio gilvus ATCC 13127 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Cellvibrio","(3492014.0, 3492302.0)",,,,3526441,False,0.7381288953934009,3516499,,,,,,,,,,1.0,,,,,,,,,
NC_018419,Secondary endosymbiont of Ctenarytaina eucalypti chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, aphid secondary symbionts","(973897.0, 976015.0)","(970051.0, 971979.0)",,,1441139,False,0.4329020309630091,974965,677026.0,,,,,,,,,0.6,0.4,,,,,,,,
NZ_CP010427,"Allofrancisella guangzhouensis strain 08HL01032 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Francisellaceae, Allofrancisella","(282042.0, 282520.0)",,,,1658482,False,0.3199660894721799,276330,,,,,,,,,,1.0,,,,,,,,,
NZ_CP015519,"Pelobacter sp. SFB93, complete genome.","Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Desulfuromonadaceae, Pelobacter","(2267797.0, 2268133.0)",,,,3218469,False,0.5341173085712493,2268122,3211703.0,,,,,,,,,0.6923076923076923,0.3076923076923077,,,,,,,,
NZ_CP018312,"Vibrio rotiferianus B64D1 chromosome 2, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(3116149.0, 3116617.0)",,,,3326271,True,0.4499065169374353,3115364,1.0,,,,,,,,,0.75,0.25,,,,,,,,
NC_021663,Corynebacterium terpenotabidum Y-11,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(2750411.0, 2751233.0)","(1618.0, 2342.0)",,,2751233,False,0.6701758811412919,11545,2452813.0,259927.0,,,,,,,,0.5238095238095238,0.2857142857142857,0.1904761904761904,,,,,,,
NC_012691,Tolumonas auensis DSM 9187,"Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, Tolumonas","(3442853.0, 3443403.0)",,,,3471292,False,0.4902701933458781,3447068,,,,,,,,,,1.0,,,,,,,,,
NC_012115,Nautilia profundicola AmH,"Bacteria, Proteobacteria, Epsilonproteobacteria, Nautiliales, Nautiliaceae, Nautilia","(1676387.0, 100.0)",,,,1676444,False,0.3350753141769125,7936,1377248.0,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,
NC_006461,Thermus thermophilus HB8,"Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus","(1849496.0, 54.0)",,,,1849742,True,0.6951785708493401,1849736,343360.0,1638531.0,986567.0,,,,,,,0.45,0.3,0.15,0.1,,,,,,
NZ_CP011883,"Mycobacterium haemophilum DSM 44634 strain ATCC 29548, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium","(1528.0, 2057.0)",,,,4235765,False,0.6394795273108872,9507,,,,,,,,,,1.0,,,,,,,,,
NC_014392,Caldicellulosiruptor obsidiansis OB47 chromosome,"Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Caldicellulosiruptor","(2532011.0, 116.0)","(1482.0, 2330.0)",,,2532343,False,0.3524329050211602,8426,,,,,,,,,,1.0,,,,,,,,,
NC_018416,Candidatus Carsonella ruddii HC isolate Thao2000 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Candidatus Carsonella","(154894.0, 155208.0)",,,,166163,True,0.1417764484271468,81124,99070.0,158774.0,15721.0,,,,,,,0.4375,0.25,0.1875,0.125,,,,,,
NZ_CP019323,"Lactobacillus allii strain WiKim39 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus","(613008.0, 613546.0)",,,,2506167,False,0.3530399211225748,613792,,,,,,,,,,1.0,,,,,,,,,
NC_017161,Hydrogenobacter thermophilus TK-6 chromosome,"Bacteria, Aquificae, Aquificales, Aquificaceae, Hydrogenobacter","(1361.0, 2351.0)",,,,1742932,True,0.4400085602880663,1098981,495297.0,274057.0,1734707.0,846384.0,666756.0,,,,,0.2325581395348837,0.2093023255813953,0.1627906976744186,0.1627906976744186,0.1627906976744186,0.0697674418604651,,,,
NZ_CP013187,"Pseudoalteromonas phenolica strain KCTC 12086 chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas","(3845245.0, 276.0)",,,,3845520,False,0.4078592752085543,3843190,,,,,,,,,,1.0,,,,,,,,,
NZ_CP009249,"Corynebacterium phocae strain M408/89/1, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2778976.0, 6.0)","(1705.0, 2263.0)",,,2779609,False,0.5883403025389542,2773650,,,,,,,,,,1.0,,,,,,,,,
NZ_CP007142,"Gynuella sunshinyii YC6258, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Saccharospirillaceae, Gynuella","(557938.0, 558571.0)",,,,6475959,False,0.4863278164670283,585279,,,,,,,,,,1.0,,,,,,,,,
NC_014376,Clostridium saccharolyticum WM1 chromosome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(4662490.0, 81.0)","(1459.0, 1716.0)",,,4662871,False,0.4500474064154895,2899,,,,,,,,,,1.0,,,,,,,,,
NC_018507,Candidatus Portiera aleyrodidarum BT-B chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Zymobacter group, whitefly endosymbionts, Candidatus Portiera","(37960.0, 40975.0)",,,,358242,True,0.2617364798097376,340433,17706.0,242156.0,305208.0,50617.0,202680.0,,,,,0.3,0.2333333333333333,0.2333333333333333,0.1,0.0666666666666666,0.0666666666666666,,,,
NZ_CP011311,"Corynebacterium camporealensis strain DSM 44610, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2451176.0, 2451810.0)","(1636.0, 2215.0)",,,2451810,False,0.5940749894975549,45609,1740945.0,2226274.0,1126385.0,273174.0,,,,,,0.3448275862068966,0.2413793103448276,0.1724137931034483,0.1379310344827586,0.1034482758620689,,,,,
NC_009504,Brucella ovis ATCC 25840 chromosome 1I,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella","(1164007.0, 153.0)",,,,1164220,False,0.5722552438542543,1163509,,,,,,,,,,1.0,,,,,,,,,
NC_009379,Polynucleobacter sp. QLW-P1DMWA-1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Polynucleobacter","(2159301.0, 32.0)","(1461.0, 1723.0)",,,2159490,False,0.4483410434871196,2158624,,,,,,,,,,1.0,,,,,,,,,
NZ_CP010827,"Corynebacterium singulare strain IBS B52218, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2829705.0, 2830477.0)",,,,2830519,False,0.601186920137261,5819,2087436.0,2583703.0,1255513.0,,,,,,,0.4666666666666667,0.2,0.2,0.1333333333333333,,,,,,
NZ_CP014870,"Pseudomonas sp. A3(2016), complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6763089.0, 6763654.0)",,,,6823539,False,0.5958248351771712,6783108,1817688.0,,,,,,,,,0.6153846153846154,0.3846153846153846,,,,,,,,
NC_020283,Candidatus Kinetoplastibacterium crithidii TCC036E,"Bacteria, Proteobacteria, Betaproteobacteria, Kinetoplastibacterium","(817549.0, 817826.0)",,,,821930,False,0.3096346404195004,820115,,,,,,,,,,1.0,,,,,,,,,
NZ_CP008998,"Xanthomonas citri subsp. citri strain MN12, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xanthomonas","(2748.0, 3798.0)",,,,5124831,False,0.6483891859068133,5049810,269294.0,,,,,,,,,0.7,0.3,,,,,,,,
NC_020294,Candidatus Kinetoplastibacterium desouzaii TCC079E,"Bacteria, Proteobacteria, Betaproteobacteria, Kinetoplastibacterium","(828463.0, 828989.0)",,,,833125,False,0.3017422355588897,831500,,,,,,,,,,1.0,,,,,,,,,
NC_020299,Candidatus Kinetoplastibacterium oncopeltii TCC290E,"Bacteria, Proteobacteria, Betaproteobacteria, Kinetoplastibacterium","(805803.0, 806024.0)",,,,810172,True,0.3122978824249665,808150,645923.0,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,
NC_018721,Psychroflexus torquis ATCC 700755 chromosome,"Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Psychroflexus","(2013077.0, 2013731.0)",,,,4321832,True,0.3452528927547392,21626,2040870.0,3187966.0,,,,,,,,0.4,0.3,0.3,,,,,,,
NC_011958,Rhodobacter sphaeroides KD131 chromosome 2,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodobacter","(1057991.0, 1058774.0)",,,,1297647,True,0.6870628144634096,14501,144517.0,890797.0,284790.0,1060016.0,,,,,,0.2777777777777778,0.25,0.1944444444444444,0.1944444444444444,0.0833333333333333,,,,,
NC_020284,Candidatus Kinetoplastibacterium galatii TCC219,"Bacteria, Proteobacteria, Betaproteobacteria, Kinetoplastibacterium","(817752.0, 817973.0)",,,,822140,True,0.3235860072493736,820125,583806.0,315741.0,,,,,,,,0.6428571428571429,0.2142857142857142,0.1428571428571428,,,,,,,
NC_019814,Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis) chromosome,"Bacteria, Proteobacteria, Betaproteobacteria, Kinetoplastibacterium","(166548.0, 166765.0)",,,,820037,True,0.325456046495463,816490,203965.0,,,,,,,,,0.75,0.25,,,,,,,,
