RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,N_penalty,O_penalty,D_penalty,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,xy_oriC_0,xy_oriC_1,xy_oriC_2,xy_oriC_3,xy_oriC_4,xy_oriC_5,xy_oriC_6,xy_oriC_7,xy_oriC_8,xgc_oriC_0,xgc_oriC_1,xgc_oriC_2,xgc_oriC_3,xgc_oriC_4,xgc_oriC_5,xgc_oriC_6,xgc_oriC_7,ygc_oriC_0,ygc_oriC_1,ygc_oriC_2,ygc_oriC_3,ygc_oriC_4,ygc_oriC_5,ygc_oriC_6,ygc_oriC_7,ygc_oriC_8
NC_010622,Burkholderia phymatum STM815 chromosome 1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia","(3395539.0, 3395979.0)",,,,3479187,0.0,0,[118050],False,"(3446060, 3446560)",3446310,,,,,,,,,,,,,,,,,3446310.0,,,,,,,,,3442635.0,,,,,,,,3448538.0,,,,,,,,
NZ_CP008941,"Candidatus Paracaedibacter acanthamoebae isolate PRA3, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Holosporales, Candidatus Paracaedibacteraceae, Candidatus Paracaedibacter","(2128355.0, 2128719.0)",,,,2470036,0.0,0,[151690],False,"(238715, 239215)",238965,,,,,,,,,,,,,,,,,238965.0,,,,,,,,,2073907.0,246032.0,,,,,,,2113210.0,1477355.0,238448.0,,,,,,
NZ_CP009122,"Sphingopyxis fribergensis strain Kp5.2, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingopyxis","(4386745.0, 4387190.0)",,,,4993584,0.0,0,"[1494300, 16490, 169730, 152190, 1193810]",True,"(4971201, 4971701)",4971451,"(4463805, 4464305)",4464055.0,"(3556318, 3556818)",3556568.0,"(897863, 898363)",898113.0,"(3032445, 3032945)",3032695.0,,,,,,,,,4971451.0,4464055.0,3556568.0,898113.0,3032695.0,,,,,4983200.0,4470674.0,3556587.0,898655.0,,,,,4530365.0,4975590.0,3555762.0,4034597.0,1366899.0,890168.0,3107714.0,,
NC_015730,Roseobacter litoralis Och 149 chromosome,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Roseobacter","(4210918.0, 4211365.0)",,,,4505211,0.0,0,[309490],False,"(4097441, 4097941)",4097691,,,,,,,,,,,,,,,,,4097691.0,,,,,,,,,4098643.0,3662078.0,,,,,,,4114117.0,,,,,,,,
NZ_AP018165,Mycobacterium stephanolepidis DNA,"Bacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae,Mycobacterium","(4994364.0, 4994485.0)",,,,4994485,0.0,0,[22920],False,"(4992771, 4993271)",4993021,,,,,,,,,,,,,,,,,4993021.0,,,,,,,,,4994168.0,,,,,,,,4993022.0,,,,,,,,
NC_020908,Octadecabacter arcticus 238,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Octadecabacter","(4705577.0, 4706094.0)",,,,5200279,0.0,0,"[467340, 233980]",False,"(4739803, 4740303)",4740053,"(264196, 264696)",264446.0,,,,,,,,,,,,,,,4740053.0,264446.0,,,,,,,,4740190.0,230429.0,,,,,,,4728491.0,5199889.0,253796.0,,,,,,
NC_020911,Octadecabacter antarcticus 307,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Octadecabacter","(4733677.0, 4734193.0)",,,,4812600,0.0,0,"[46240, 6800]",False,"(14925, 15425)",15175,"(4635197, 4635697)",4635447.0,,,,,,,,,,,,,,,15175.0,4635447.0,,,,,,,,14846.0,4634601.0,,,,,,,15186.0,4636913.0,441949.0,,,,,,
NZ_LN794217,"Rickettsia monacensis, strain IrR/Munich, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(369686.0, 370080.0)",,,,1353450,0.0,0,[167020],False,"(210669, 211169)",210919,,,,,,,,,,,,,,,,,210919.0,,,,,,,,,202814.0,581963.0,332132.0,,,,,,84402.0,211165.0,,,,,,,
NC_008786,Verminephrobacter eiseniae EF01-2,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Verminephrobacter","(5566733.0, 492.0)",,,,5566749,0.0,0,"[1023970, 1324330, 711760]",False,"(45594, 46094)",45844,"(1581395, 1581895)",1581645.0,"(2352711, 2353211)",2352961.0,,,,,,,,,,,,,45844.0,1581645.0,2352961.0,,,,,,,1033197.0,46151.0,1630079.0,3038651.0,2352073.0,,,,5546682.0,2316485.0,1578881.0,4879356.0,374080.0,,,,
NZ_CP009312,"Lawsonella clevelandensis strain X1036 chromosome, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Lawsonella","(994022.0, 994775.0)",,,,1860551,1.612425566404791e-05,0,"[45360, 108170, 208210, 504160, 131330, 3540]",False,"(1144026, 1144526)",1144276,"(909236, 909736)",909486.0,"(1497259, 1497759)",1497509.0,"(1324072, 1324572)",1324322.0,"(732870, 733370)",733120.0,"(1824258, 1824758)",1824508.0,,,,,,,1144276.0,909486.0,1497509.0,1324322.0,733120.0,1824508.0,,,,1142008.0,884685.0,1497305.0,1324495.0,,,,,1144276.0,1491896.0,909893.0,1324318.0,,,,,
NC_008751,Desulfovibrio vulgaris subsp. vulgaris DP4,"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio","(11114.0, 11464.0)",,,,3462887,0.0,0,[22590],False,"(3461503, 3462003)",3461753,,,,,,,,,,,,,,,,,3461753.0,,,,,,,,,3462881.0,,,,,,,,3461751.0,,,,,,,,
NZ_CP004387,"Alcanivorax pacificus W11-5, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Alcanivoracaceae, Alcanivorax","(4168005.0, 38.0)",,,,4168427,2.3989864761935376e-07,0,[331920],False,"(4151591, 4152091)",4151841,,,,,,,,,,,,,,,,,4151841.0,,,,,,,,,11.0,,,,,,,,4151841.0,,,,,,,,
NZ_CP017996,"Lactobacillus crustorum strain MN047 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus","(1378.0, 1878.0)",,,,2261471,0.0,0,[17150],False,"(365, 865)",615,,,,,,,,,,,,,,,,,615.0,,,,,,,,,539.0,,,,,,,,2261151.0,,,,,,,,
NZ_CP016268,"Woeseia oceani strain XK5, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Woeseiaceae, Woeseia","(4059703.0, 19.0)",,,,4059891,0.0,0,"[710520, 670610]",False,"(52316, 52816)",52566,"(4043150, 4043650)",4043400.0,,,,,,,,,,,,,,,52566.0,4043400.0,,,,,,,,44653.0,,,,,,,,80179.0,,,,,,,,
NC_010506,Shewanella woodyi ATCC 51908,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella","(5935355.0, 396.0)",,,,5935403,0.0,0,[173680],False,"(5911955, 5912455)",5912205,,,,,,,,,,,,,,,,,5912205.0,,,,,,,,,5912388.0,,,,,,,,5903704.0,,,,,,,,
NZ_CP013934,"Weissella cibaria strain CMS3, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Leuconostocaceae, Weissella","(18659.0, 19401.0)",,,,2342907,0.0,0,[186580],False,"(24650, 25150)",24900,,,,,,,,,,,,,,,,,24900.0,,,,,,,,,25387.0,,,,,,,,16058.0,,,,,,,,
NC_008260,Alcanivorax borkumensis SK2,"Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Alcanivoracaceae, Alcanivorax","(3119635.0, 3120143.0)",,,,3120143,0.0,0,[4430],False,"(3120113, 471)",221,,,,,,,,,,,,,,,,,221.0,,,,,,,,,441.0,,,,,,,,220.0,,,,,,,,
NZ_CP014525,"Haematospirillum jordaniae strain H5569, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Haematospirillum","(767916.0, 768316.0)",,,,2131542,0.0,3,[630],False,"(768604, 769104)",768854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768854.0,,,,,,,,
NC_011898,Clostridium cellulolyticum H10,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(4068223.0, 26.0)","(1350.0, 1597.0)",,,4068724,0.0,0,[158320],False,"(4060552, 4061052)",4060802,,,,,,,,,,,,,,,,,4060802.0,,,,,,,,,4068712.0,,,,,,,,4060796.0,,,,,,,,
NZ_CP023706,"Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Hafniaceae, Edwardsiella","(1710954.0, 1711349.0)",,,,3638764,0.0,0,[39520],False,"(1714025, 1714525)",1714275,,,,,,,,,,,,,,,,,1714275.0,,,,,,,,,1714276.0,3635802.0,,,,,,,1712300.0,,,,,,,,
NC_014394,Gallionella capsiferriformans ES-2 chromosome,"Bacteria, Proteobacteria, Betaproteobacteria, Gallionellales, Gallionellaceae, Gallionella","(1446.0, 1946.0)",,,,3162471,0.0,0,[34630],False,"(3162443, 473)",223,,,,,,,,,,,,,,,,,223.0,,,,,,,,,1929.0,,,,,,,,198.0,,,,,,,,
NZ_CP021425,"Oleiphilus messinensis strain ME102 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Oleiphilaceae, Oleiphilus","(6378208.0, 100.0)",,,,6379281,0.0,0,[35270],False,"(6377268, 6377768)",6377518,,,,,,,,,,,,,,,,,6377518.0,,,,,,,,,6377517.0,,,,,,,,0.0,,,,,,,,
NC_010524,Leptothrix cholodnii SP-6,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Leptothrix","(4909124.0, 71.0)",,,,4909403,0.0,0,"[481960, 1145100]",False,"(4870460, 4870960)",4870710,"(1589830, 1590330)",1590080.0,,,,,,,,,,,,,,,4870710.0,1590080.0,,,,,,,,4892035.0,,,,,,,,4867937.0,,,,,,,,
NC_010581,Beijerinckia indica subsp. indica ATCC 9039,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Beijerinckia","(4049452.0, 4050088.0)",,,,4170153,0.0,0,"[893180, 195400]",False,"(4094354, 4094854)",4094604,"(2964255, 2964755)",2964505.0,,,,,,,,,,,,,,,4094604.0,2964505.0,,,,,,,,4163814.0,4093068.0,2969305.0,,,,,,4048409.0,2959535.0,,,,,,,
NC_011666,Methylocella silvestris BL2,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Methylocella","(2771022.0, 2771437.0)",,,,4305430,0.0,0,"[846290, 643450]",False,"(2730083, 2730583)",2730333,"(414166, 414666)",414416.0,,,,,,,,,,,,,,,2730333.0,414416.0,,,,,,,,2721185.0,,,,,,,,2763499.0,,,,,,,,
NZ_AP014924,"Limnochorda pilosa DNA, complete genome, strain: HC45.","Bacteria, Firmicutes, Limnochordia, Limnochordales, Limnochordaceae, Limnochorda","(3816730.0, 200.0)",,,,3817036,0.0,0,"[80, 8990]",False,"(3816781, 244)",3817031,"(1049766, 1050266)",1050016.0,,,,,,,,,,,,,,,3817031.0,1050016.0,,,,,,,,3817030.0,1050466.0,,,,,,,3817026.0,1050016.0,,,,,,,
NC_011901,Thioalkalivibrio sp. HL-EbGR7,"Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Ectothiorhodospiraceae, Thioalkalivibrio","(3464498.0, 138.0)","(1507.0, 1757.0)",,,3464554,0.0,0,[95060],False,"(3449285, 3449785)",3449535,,,,,,,,,,,,,,,,,3449535.0,,,,,,,,,3451465.0,,,,,,,,3446712.0,,,,,,,,
NZ_CP009467,"Vibrio harveyi strain ATCC 33843 (392 [MAV]) chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(216577.0, 217006.0)",,,,3621606,0.0,0,[807210],False,"(247533, 248033)",247783,,,,,,,,,,,,,,,,,247783.0,,,,,,,,,3602956.0,248613.0,,,,,,,208253.0,,,,,,,,
NZ_CP013187,"Pseudoalteromonas phenolica strain KCTC 12086 chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas","(3845245.0, 276.0)",,,,3845520,0.0,0,[5550],False,"(3845019, 3845519)",3845269,,,,,,,,,,,,,,,,,3845269.0,,,,,,,,,3842012.0,,,,,,,,3842290.0,,,,,,,,
NZ_CP014056,"Grimontia hollisae strain ATCC 33564 chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Grimontia","(1264529.0, 1265077.0)",,,,3215321,0.0,0,[299740],False,"(1257949, 1258449)",1258199,,,,,,,,,,,,,,,,,1258199.0,,,,,,,,,1257170.0,3212813.0,,,,,,,1272157.0,,,,,,,,
NZ_CP009249,"Corynebacterium phocae strain M408/89/1, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2778976.0, 6.0)","(1705.0, 2263.0)",,,2779609,0.0,0,[87440],False,"(2771775, 2772275)",2772025,,,,,,,,,,,,,,,,,2772025.0,,,,,,,,,2772277.0,,,,,,,,2776649.0,,,,,,,,
NC_010681,Burkholderia phytofirmans PsJN chromosome 1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia","(4403302.0, 4404147.0)",,,,4467537,0.0,0,[965220],False,"(4449079, 4449579)",4449329,,,,,,,,,,,,,,,,,4449329.0,,,,,,,,,4435614.0,,,,,,,,16338.0,,,,,,,,
NZ_CP011311,"Corynebacterium camporealensis strain DSM 44610, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2451176.0, 2451810.0)","(1636.0, 2215.0)",,,2451810,0.0,0,[152240],False,"(52972, 53472)",53222,,,,,,,,,,,,,,,,,53222.0,,,,,,,,,54125.0,,,,,,,,46513.0,2225729.0,1768513.0,1126243.0,,,,,
NC_009901,Shewanella pealeana ATCC 700345 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella","(5165130.0, 5165586.0)",,,,5174581,0.0,0,[262400],False,"(12885, 13385)",13135,,,,,,,,,,,,,,,,,13135.0,,,,,,,,,13130.0,,,,,,,,10.0,,,,,,,,
NZ_CP010827,"Corynebacterium singulare strain IBS B52218, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2829705.0, 2830477.0)",,,,2830519,0.0,0,[295450],False,"(2829958, 2830458)",2830208,,,,,,,,,,,,,,,,,2830208.0,,,,,,,,,2829926.0,,,,,,,,14180.0,1255513.0,2583703.0,,,,,,
NC_009952,Dinoroseobacter shibae DFL 12,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Dinoroseobacter","(3633375.0, 3633756.0)",,,,3789584,0.0,0,"[45780, 545190, 732150, 15750]",False,"(3762158, 3762658)",3762408,"(2319817, 2320317)",2320067.0,"(1901500, 1902000)",1901750.0,"(3403156, 3403656)",3403406.0,,,,,,,,,,,3762408.0,2320067.0,1901750.0,3403406.0,,,,,,327.0,1878017.0,2320058.0,3401124.0,,,,,3762651.0,2320846.0,1914624.0,3403413.0,,,,,
